Programa de financiación;Título;Ce.gestor;Funcional;Económico;Fondo;Impte.mon.ent.CP;LI;Descripción Línea de Inversión;SL;Descripción Sublínea de Inversión;Distrito;Descripción
2022/000434;ÚTILES Y HERRAMIENTAS PARA LOS SERVICIOS DE BOMBEROS;001120;13610;62302;;135.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2022/000436;PARQUES DE BOMBEROS. OTRO MOBILIARIO Y ENSERES;001120;13610;62599;;60.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2022/000437;PROYECTO EQUIPOS RADIOS MÓVILES DIGITALES SERVICIO DE BOMBEROS;001120;13610;62600;;743.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2022/000439;JEFATURA CUERPO DE BOMBEROS. SISTEMA DE ALIMENTACIÓN COMUNICACIONES;001120;13610;62600;;300.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;204;SALAMANCA
2022/000440;CONTENEDORES DE MANIOBRAS PARA LOS SERVICIOS DE BOMBEROS;001120;13610;62999;;250.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2022/000443;MUSEO DE BOMBEROS, C/ BOADA 4. SALA INTERATIVA DE COMUNICACIONES Y ADECUACIÓN ELEMENTOS EXPOSITIVOS;001120;13610;62999;;115.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;213;PUENTE DE VALLECAS
2022/000443;MUSEO DE BOMBEROS, C/ BOADA 4. SALA INTERATIVA DE COMUNICACIONES Y ADECUACIÓN ELEMENTOS EXPOSITIVOS;001120;13610;63600;;100.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;213;PUENTE DE VALLECAS
2022/000444;CÁMARAS DE HUMO PARA LOS SERVICIOS DE BOMBEROS;001120;13610;63301;;310.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2022/000445;CENTRO INTEGRADO DE SEGURIDAD Y EMERGENCIAS (CISEM). INSTALACIONES TÉCNICAS;001120;13610;63301;;160.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2022/000446;SERVICIOS DE BOMBEROS. INFRAESTRUCTURA PARA BASES DE DATOS;001120;13610;63601;;250.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2022/000447;APLICACIONES INFORMÁTICAS PARA LOS SERVICIOS DE BOMBEROS;001120;13610;64100;;50.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2022/000114;SERVICIOS COMUNICACIÓN ÁREA DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS. INSTALACIONES GRABACIÓN;001120;92202;62301;;1.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2022/000115;SERVICIOS COMUNICACIÓN ÁREA DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS. ÚTILES Y HERRAMIENTAS;001120;92202;62302;;1.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2022/000116;EQUIPAMIENTO SERVICIOS COMUNICACIÓN DEL ÁREA DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;001120;92202;62599;;1.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2022/000116;EQUIPAMIENTO SERVICIOS COMUNICACIÓN DEL ÁREA DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;001120;92202;62500;;1.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2022/000117;SERVICIOS COMUNICACIÓN ÁREA DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS. MATERIAL INFORMÁTICO;001120;92202;62601;;1.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2022/000032;SERVICIOS ÁREA DE GOBIERNO DE CULTURA, TURISMO Y DEPORTE. INSTALACIONES TÉCNICAS;001130;33000;62301;;8.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2022/000033;EQUIPAMIENTO MOBILIARIO Y ENSERES SERVICIOS ÁREA DE GOBIERNO DE CULTURA, TURISMO Y DEPORTE;001130;33000;62500;;10.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2022/000033;EQUIPAMIENTO MOBILIARIO Y ENSERES SERVICIOS ÁREA DE GOBIERNO DE CULTURA, TURISMO Y DEPORTE;001130;33000;62599;;6.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2022/000034;SEÑALIZACIÓN SERVICIOS ÁREA DE GOBIERNO DE CULTURA, TURISMO Y DEPORTE;001130;33000;62901;;6.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/002021;BIBLIOTECAS DEL DISTRITO DE PUENTE DE VALLECAS. LIBROS Y MATERIAL AUDIOVISUAL (ID 20: 16379);001130;33210;62999;5;50.000,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;213;PUENTE DE VALLECAS
2022/000107;BIBLIOTECAS PUBLICAS. SEÑALIZACIÓN Y SEÑALÉTICA;001130;33210;62901;;35.000,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;998;VARIOS DISTRITOS
2022/000118;BIBLIOTECA MUSICAL VÍCTOR ESPINÓS. ADQUISICIÓN DE PARTITURAS E INSTRUMENTOS;001130;33210;62999;;7.200,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;201;CENTRO
2022/000121;UNIDAD TÉCNICA DE BIBLIOTECAS PÚBLICAS. ADQUISICIÓN DE LIBROS;001130;33210;62999;;1.025.000,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;998;VARIOS DISTRITOS
2022/000122;UNIDAD TÉCNICA DE BIBLIOTECAS PÚBLICAS. ADQUISICIÓN DE MATERIAL AUDIOVISUAL Y MULTIMEDIA;001130;33210;62999;;60.000,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;998;VARIOS DISTRITOS
2022/000123;WEB MEMORIADEMADRID PATRIMONIO DIGITAL. ACTUALIZACIÓN DE MEMORIA FLASH;001130;33210;64100;;14.000,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;998;VARIOS DISTRITOS
2022/000490;BIBLIOTECAS PÚBLICAS. MOBILIARIO Y ENSERES;001130;33210;62599;;46.000,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;998;VARIOS DISTRITOS
2022/000491;ARCHIVO DE LA VILLA. MOBILIARIO Y ENSERES;001130;33220;63599;;15.000,00;10;CULTURA;01;ARCHIVOS Y PATRIMONIO DOCUMENTAL;201;CENTRO
2021/000486;OBRAS DE ARTE PARA LOS MUSEOS DE LA CIUDAD (ACUERDOS DE LA VILLA);001130;33301;62900;;150.000,00;10;CULTURA;02;MUSEOS Y COLECCIONES;998;VARIOS DISTRITOS
2022/000142;MUSEO EL CAPRICHO. ADQUISICION DE MOBILIARIO DE OFICINA;001130;33301;62500;;12.000,00;10;CULTURA;02;MUSEOS Y COLECCIONES;221;BARAJAS
2022/000143;MUSEO SAN ISIDRO. LOS ORÍGENES DE MADRID. ADQUISICION DE WALKIE TALKIES;001130;33301;62600;;1.500,00;10;CULTURA;02;MUSEOS Y COLECCIONES;201;CENTRO
2022/000144;MUSEO DE HISTORIA DE MADRID. SEÑALÉTICA;001130;33301;62901;;10.000,00;10;CULTURA;02;MUSEOS Y COLECCIONES;201;CENTRO
2022/000147;PLANETARIO DE MADRID. RENOVACIÓN DE BUTACAS;001130;33301;63599;;50.000,00;10;CULTURA;02;MUSEOS Y COLECCIONES;202;ARGANZUELA
2022/000149;TEMPLO DE DEBOD. RENOVACIÓN MUSEOGRAFÍA PERMANENTE;001130;33301;63999;;40.500,00;10;CULTURA;02;MUSEOS Y COLECCIONES;209;MONCLOA-ARAVACA
2022/000152;MUSEO HISTORIA DE MADRID. REINSTALACION MUSEOGRÁFICA MAQUETA DE MADRID DE 1830;001130;33301;63999;;50.000,00;10;CULTURA;02;MUSEOS Y COLECCIONES;201;CENTRO
2022/000153;MUSEO DE SAN ISIDRO. LOS ORIGENES DE MADRID. REPOSICIÓN EQUIPO DE GRABACIÓN;001130;33301;63999;;4.500,00;10;CULTURA;02;MUSEOS Y COLECCIONES;201;CENTRO
2022/000489;PALACIO DE LOS DUQUES DE OSUNA EN EL PARQUE DEL CAPRICHO. DESARROLLO MUSEOGRÁFICO;001130;33301;62999;;390.000,00;10;CULTURA;02;MUSEOS Y COLECCIONES;221;BARAJAS
2022/000175;RESTAURACIÓN ELEMENTOS COLECCIÓN GIGANTES Y CABEZUDOS;001130;33401;63900;;10.000,00;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;998;VARIOS DISTRITOS
2022/001014;PLACAS CONMEMORATIVAS PLAN MEMORIA DE MADRID;001130;33401;60900;;15.000,00;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;998;VARIOS DISTRITOS
2022/000199;BANDA SINFÓNICA MUNICIPAL. ADQUISICIÓN MOBILIARIO OFICINAS Y ARCHIVO;001130;33405;62500;;10.000,00;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;998;VARIOS DISTRITOS
2022/000206;BANDA SINFÓNICA MUNICIPAL. INSTRUMENTOS MUSICALES Y MATERIAL PARA DEPÓSITO Y TRANSPORTE;001130;33405;62999;;117.314,00;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;998;VARIOS DISTRITOS
2022/000207;BANDA SINFÓNICA MUNICIPAL. ADQUISICIÓN DE PARTITURAS SUJETAS A DERECHOS DE AUTOR;001130;33405;64001;;7.000,00;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;998;VARIOS DISTRITOS
2009/000430;BIBLIOTECA MUNICIPAL EN BARRIO DE SAN FERMÍN. CONSTRUCCIÓN;001130;33601;62200;;80.000,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;212;USERA
2018/006051;"PALACIO ""EL CAPRICHO"". REHABILITACIÓN PARA DESARROLLO MUSEOGRÁFICO";001130;33601;63200;;2.680.000,00;10;CULTURA;02;MUSEOS Y COLECCIONES;221;BARAJAS
2019/000527;MUSEO DE SAN ISIDRO. OBRAS ADECUACIÓN PARA SOSTENIBILIDAD;001130;33601;63900;;47.619,00;10;CULTURA;02;MUSEOS Y COLECCIONES;201;CENTRO
2019/000708;CUARTEL CONDE DUQUE. MONITORIZACIÓN DE CLIMATIZACIÓN;001130;33601;63900;;165.214,00;10;CULTURA;04;OTROS CENTROS PARA MANIFESTACIONES CULTURALES;201;CENTRO
2019/003222;CERRAMIENTO CASINO DE LA REINA. RESTAURACION;001130;33601;63900;;36.000,00;10;CULTURA;06;ESTATUAS Y MONUMENTOS;201;CENTRO
2020/000043;CASA DE VARGAS. REHABILITACIÓN CASA-PALACIO Y JARDÍN DE FELIPE II;001130;33601;63900;;570.000,00;10;CULTURA;04;OTROS CENTROS PARA MANIFESTACIONES CULTURALES;209;MONCLOA-ARAVACA
2020/000419;PABELLÓN DE HEXÁGONOS CASA DE CAMPO. REHABILITACIÓN;001130;33601;63900;;254.152,00;10;CULTURA;04;OTROS CENTROS PARA MANIFESTACIONES CULTURALES;209;MONCLOA-ARAVACA
2020/000782;MUSEO DE HISTORIA DE MADRID. OBRAS DE ACONDICIONAMIENTO;001130;33601;63900;;242.000,00;10;CULTURA;02;MUSEOS Y COLECCIONES;201;CENTRO
2021/000039;CENTRO DE INTERPRETACION UNESCO. SOPORTES INTERACTIVOS, MAQUETA Y UNIDADES TEMÁTICAS;001130;33601;62999;;453.137,00;10;CULTURA;04;OTROS CENTROS PARA MANIFESTACIONES CULTURALES;203;RETIRO
2021/000050;BIBLIOTECA EUGENIO TRIAS. OBRAS DE ACONDICIONAMIENTO Y AMPLIACIÓN;001130;33601;63900;;54.000,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;203;RETIRO
2021/000053;NAVE 15 MATADERO. OBRAS DE ACONDICIONAMIENTO;001130;33601;63900;;160.000,00;10;CULTURA;04;OTROS CENTROS PARA MANIFESTACIONES CULTURALES;202;ARGANZUELA
2021/001162;CENTRO DE LAS ARTES DEL LIBRO. REFORMA INSTALACIONES CLIMATIZACIÓN, ELÉCTRICA E ILUMINACIÓN;001130;33601;63900;;258.204,00;10;CULTURA;02;MUSEOS Y COLECCIONES;201;CENTRO
2022/000053;MONUMENTO A LAS VÍCTIMAS DEL TERRORISMO. INSTALACIÓN;001130;33601;60900;;350.000,00;10;CULTURA;06;ESTATUAS Y MONUMENTOS;204;SALAMANCA
2022/000054;MUSEO DE ARTE CONTEMPORÁNEO EN EL BULEVAR DE JOAQUÍN COSTA. INSTALACIÓN;001130;33601;60900;;675.000,00;10;CULTURA;06;ESTATUAS Y MONUMENTOS;205;CHAMARTIN
2022/000055;INTERVENCIONES COMPARTIENDO MUROS ARTE PÚBLICO MADRID;001130;33601;60900;;215.000,00;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;998;VARIOS DISTRITOS
2022/000086;MONUMENTO ESCULTÓRICO JUAN SEBASTIAN ELCANO;001130;33601;60900;;100.000,00;10;CULTURA;06;ESTATUAS Y MONUMENTOS;999;NO DISTRITALIZABLE
2022/000092;ARQUITECTURA DE DEFENSA DE LA GUERRA CIVIL. RESTAURACIÓN;001130;33601;63900;;8.000,00;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;998;VARIOS DISTRITOS
2022/000093;CASA DE LA VILLA. OBRAS DE RESTAURACION;001130;33601;63900;;150.000,00;10;CULTURA;04;OTROS CENTROS PARA MANIFESTACIONES CULTURALES;201;CENTRO
2022/000109;PROTOTIPO DE SEÑALIZACION PEATONAL LEERMADRID;001130;33601;60912;;90.000,00;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;998;VARIOS DISTRITOS
2022/000154;PLACAS VÍCTIMAS TERRORISMO Y PLAN DE MEMORIA HISTÓRICA;001130;33601;60900;;225.110,00;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;998;VARIOS DISTRITOS
2022/000402;RESTAURACION DE ESTATUAS Y MONUMENTOS DE LA CIUDAD;001130;33601;61900;;59.348,00;10;CULTURA;06;ESTATUAS Y MONUMENTOS;998;VARIOS DISTRITOS
2022/000541;MUSEO ARTE CONTEMPORÁNEO EN CONDE DUQUE. ACONDICIONAMIENTO NUEVAS SALAS;001130;33601;63900;;1.000.000,00;10;CULTURA;02;MUSEOS Y COLECCIONES;201;CENTRO
2022/000551;EDIFICIO C/ PEIRONCELLY, 10. REHABILITACIÓN PARA DOTACIÓN CULTURAL;001130;33601;63900;;300.000,00;10;CULTURA;04;OTROS CENTROS PARA MANIFESTACIONES CULTURALES;213;PUENTE DE VALLECAS
2022/002000;MURALLA CRISTIANA EN SOLAR C/ESPEJO,14. CONSOLIDACIÓN, RESTAURACIÓN Y  ENTORNO (ID 20: 12696);001130;33601;61900;5;50.000,00;10;CULTURA;06;ESTATUAS Y MONUMENTOS;201;CENTRO
2022/002004;SEÑALIZACIÓN VESTIGIOS DE LA GUERRA CIVIL EN EL PARQUE DEL OESTE (ID 18: 177);001130;33601;60912;5;5.000,00;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;209;MONCLOA-ARAVACA
2022/002037;ARTE UBANO EN EL DISTRITO DE MORATALAZ. IMPLANTACIÓN (ID 20: 16309);001130;33601;60900;5;100.000,00;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;214;MORATALAZ
2019/003146;UNIDADES DEPORTIVAS PARA LA PRÁCTICA DEL RUGBY EN VILLA DE VALLECAS. CONSTRUCCIÓN;001131;34201;62200;;613.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;01;POLIDEPORTIVOS;218;VILLA DE VALLECAS
2021/000606;REPOSICIÓN DE CÉSPED ARTIFICIAL EN CAMPOS DE FÚTBOL INSTALACIONES DEPORTIVAS MADRID;001131;34201;63200;;1.137.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;01;POLIDEPORTIVOS;998;VARIOS DISTRITOS
2021/000637;DISPOSITIVOS DIGITALES PARA TRANSFORMACIÓN Y MEJORA TECNOLÓGICAS CENTROS DEPORTIVOS MUNICIPALES;001131;34201;62601;;196.176,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;01;POLIDEPORTIVOS;998;VARIOS DISTRITOS
2021/001115;CENTRO DEPORTIVO SAN BLAS. EQUIPAMIENTO DEPORTIVO DE ALTA COMPETICIÓN;001131;34201;62302;;250.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;01;POLIDEPORTIVOS;220;SAN BLAS - CANILLEJAS
2021/001117;DEPORTIVO BÁSICO LOS POBLADOS. ACONDICIONAMIENTO CAMPO DE FÚTBOL Y VESTUARIOS;001131;34201;63200;;1.490.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;02;PISTAS DEPORTIVAS ELEMENTALES;211;CARABANCHEL
2021/001363;CUBOS PORTÁTILES DE ENTRENAMIENTO DEPORTIVO PERSONAL PARA CENTROS DEPORTIVOS MUNICIPALES;001131;34201;62302;;258.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;01;POLIDEPORTIVOS;998;VARIOS DISTRITOS
2022/000044;EQUIPAMIENTO AULA DE COMERCIO MERCADO PUERTA BONITA;001140;43100;62599;;4.200,00;14;SECTORES PRODUCTIVOS;00;COMERCIO;211;CARABANCHEL
2022/000047;MERCADO PUERTA BONITA. SEÑALIZACIÓN;001140;43100;62901;;5.000,00;14;SECTORES PRODUCTIVOS;00;COMERCIO;211;CARABANCHEL
2022/000048;MERCADO PUERTA BONITA. OBRAS DE ACONDICIONAMIENTO AULA;001140;43100;63200;;48.000,00;14;SECTORES PRODUCTIVOS;00;COMERCIO;211;CARABANCHEL
2022/000035;CENTRO INNOVACIÓN MADRID INTERNATIONAL LAB. INSTALACIONES DOMÓTICAS;001140;43300;62301;;65.000,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;201;CENTRO
2022/000036;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS ÁREA DE GOBIERNO ECONOMÍA,INNOVACIÓN Y EMPLEO;001140;43300;62500;;55.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2022/000040;FACTORIAS INDUSTRIALES. INSTALACIONES TECNICAS;001140;43301;62301;;106.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;998;VARIOS DISTRITOS
2022/000040;FACTORIAS INDUSTRIALES. INSTALACIONES TECNICAS;001140;43301;63301;;3.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;998;VARIOS DISTRITOS
2022/000041;EQUIPAMIENTO MOBILIARIO Y ENSERES FACTORIAS INDUSTRIALES;001140;43301;62500;;82.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;998;VARIOS DISTRITOS
2022/000041;EQUIPAMIENTO MOBILIARIO Y ENSERES FACTORIAS INDUSTRIALES;001140;43301;62599;;10.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;998;VARIOS DISTRITOS
2021/000333;CENTRO INNOVACIÓN ECONOMÍA CIRCULAR VICÁLVARO (CIEC), C/PRAT, 59. INSTALACIONES;001140;92320;62301;5;100.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;219;VICALVARO
2021/000334;EQUIPAMIENTO CENTRO DE INNOVACIÓN ECONOMÍA CIRCULAR (CIEC) VICÁLVARO, C/ PRAT, 59;001140;92320;62599;5;355.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;219;VICALVARO
2021/000335;CENTRO INNOVACIÓN ECONOMÍA CIRCULAR VICÁLVARO, (CIEC) C/ PRAT, 59. APLICACIONES INFORMÁTICAS;001140;92320;64100;5;5.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;219;VICALVARO
2021/000336;CENTRO INNOVACIÓN ECONOMÍA CIRCULAR VICÁLVARO (CIEC), C/ PRAT, 59. EQUIPOS COMUNICACIÓN;001140;92320;62600;5;25.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;219;VICALVARO
2021/001580;PABELLONES ICONA I Y II CASA DE CAMPO. REFORMA PARA CAMPUS DEL VIDEOJUEGO;001140;92320;63900;;300.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;209;MONCLOA-ARAVACA
2022/000414;EQUIPAMIENTO CAMPUS Y GLUSTER DE VIDEOJUEGOS EN PABELLONES CASA DE CAMPO;001140;92320;62599;;150.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;209;MONCLOA-ARAVACA
2022/000413;ELABORACIÓN DEL MANUAL DE IDENTIDAD DE LA MARCA MADRID;001140;92402;64001;;120.680,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;998;VARIOS DISTRITOS
2022/000042;VIVEROS DE EMPRESA. PLATAFORMA CRM PARA UNIFICACIÓN GESTION DE USUARIOS Y SERVICIOS;001141;43305;64100;;60.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;998;VARIOS DISTRITOS
2022/000526;EQUIPAMIENTO VIVERO DE EMPRESAS MADRID FOOD INNOVATION HUB;001141;43305;62300;;30.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;217;VILLAVERDE
2022/000527;EQUIPAMIENTO VIVEROS DE EMPRESAS;001141;43305;62599;;500.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;998;VARIOS DISTRITOS
2022/000528;VIVEROS DE EMPRESAS. EQUIPOS DE COMUNICACIÓN;001141;43305;62600;;300.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;998;VARIOS DISTRITOS
2022/000529;OBRAS DE REFORMA EN LOS VIVEROS DE EMPRESAS;001141;43305;63200;;150.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;998;VARIOS DISTRITOS
2022/000400;EQUIPAMIENTO CENTRO DE INNOVACIÓN MONCLOA-ARAVACA;001141;46200;62599;;35.150,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;209;MONCLOA-ARAVACA
2022/000401;CENTRO DE INNOVACIÓN LA NAVE. OBRAS DE REFORMA;001141;46200;63200;;48.400,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;217;VILLAVERDE
2022/000531;CENTRO DE INNOVACIÓN LA NAVE. ADQUISICIÓN EQUIPO ROBÓTICO PARA RECEPCIÓN;001141;46200;62300;;50.000,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;217;VILLAVERDE
2022/000533;CENTRO INNOVACIÓN MADRID INTERNATIONAL LAB. ADQUISICIÓN EQUIPO ROBÓTICO PARA RECEPCIÓN;001141;46200;62300;;50.000,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;201;CENTRO
2022/000534;CENTRO DE INNOVACIÓN MONCLOA-ARAVACA. ADQUISICIÓN PANTALLA TECNOLÓGICA PARA EVENTOS;001141;46200;62599;;6.300,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;209;MONCLOA-ARAVACA
2022/000535;CENTRO INNOVACIÓN MADRID INTERNATIONAL LAB. ADQUISICIÓN PANTALLAS TECNOLOGÍCAS PARA EVENTOS;001141;46200;62599;;38.000,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;201;CENTRO
2022/000536;CENTRO INNOVACIÓN PUERTA INNOVACIÓN. ADQUISICIÓN PANTALLA TECNOLÓGICA PARA EVENTOS;001141;46200;62599;;30.000,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;201;CENTRO
2022/000537;EQUIPAMIENTO CENTRO INNOVACIÓN MADRID INTERNATIONAL LAB;001141;46200;62599;;40.000,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;201;CENTRO
2022/000538;CENTRO INNOVACIÓN PUERTA DE INNOVACIÓN. OBRAS DE REFORMA;001141;46200;63200;;48.400,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;201;CENTRO
2018/005018;COMPRA PÚBLICA DE INNOVACIÓN. CARRO DE LIMPIEZA CON ASISTENCIA ELÉCTRICA;001141;46300;64099;;498.080,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;998;VARIOS DISTRITOS
2018/005019;COMPRA PÚBLICA DE INNOVACIÓN. SENSORES EN PAPELERAS PARA OPTIMIZAR RECOGIDA DE RESIDUOS;001141;46300;64099;;349.725,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;998;VARIOS DISTRITOS
2021/001367;EQUIPAMIENTO CENTRO DE INTELIGENCIA ARTIFICIAL, C/ BRAVO MURILLO, 37-39;001141;46300;62599;;18.150,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;207;CHAMBERI
2021/001367;EQUIPAMIENTO CENTRO DE INTELIGENCIA ARTIFICIAL, C/ BRAVO MURILLO, 37-39;001141;46300;62600;;150.000,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;207;CHAMBERI
