CeGe;Prog. Finan.;Objetivo;Indicador;Descripción Indicador;Unidad de medida;Presupuestado
001170;92004;01;04;PORCENTAJE DE ALUMNOS/AS CON CERTIFICADO DEASISTENCIA/PARTICIPACIÓN/APROVECHAMIENTO SOBRE EL TOTAL DE ALUMNOS ASISTENTES;PORCENTAJE;85
001170;92004;01;03;PORCENTAJE DE AF REALIZADAS SOBRE EL TOTAL DE LAS AF PLANIFICADAS;PORCENTAJE;70
001170;92004;01;02;PORCENTAJE DE AF QUE TIENEN COMO OBJETIVO LA ADAPTACIÓN AL ENTORNO VUCA SOBRE EL TOTAL DE AF PLANIFICADAS;PORCENTAJE;35
001170;92004;01;01;PORCENTAJE DE ACCIONES FORMATIVAS (AF) NUEVAS SOBRE EL TOTAL DE PLANIFICADAS;PORCENTAJE;9
001170;92004;02;05;NÚMERO DE ITINERARIOS FORMATIVOS REALIZADOS;NÚMERO;6
001170;92004;02;06;NÚMERO DE ALUMNOS/AS ASISTENTES A ITINERARIOS FORMATIVOS;NÚMERO;3578
001170;92004;02;07;NÚMERO DE HORAS IMPARTIDAS EN ITINERARIOS FORMATIVOS;NÚMERO;250
001170;92004;02;08;NÚMERO DE ALUMNOS/AS ASISTENTES A FORMACIÓN PARA LA PROMOCIÓN INTERNA;NÚMERO;9000
001170;92004;02;09;NÚMERO DE ALUMNOS/AS ASISTENTES A FORMACIÓN EN IDIOMAS;NÚMERO;800
001170;92004;02;10;NÚMERO DE ALUMNOS/AS ASISTENTES A FORMACIÓN EN MENTORING;NÚMERO;24
001170;92004;02;04;NÚMERO DE SEMINARIOS, CONFERENCIAS, CURSOS Y GRUPOS DE TRABAJO SOBRE TEMAS DIVERSOS PARA EL FOMENTO DEL TALENTO INTERNO;NÚMERO;10
001170;92004;02;03;NUMERO DE ALUMNOS/AS ASISTENTES A FORMACIÓN DE NUEVO INGRESO;NÚMERO;500
001170;92004;02;02;PORCENTAJE DE MUJERES ASISTENTES A FORMACIÓN ESPECIALIZADA EN HABILIDADES DIRECTIVAS SOBRE EL TOTAL DE ASISTENTES;PORCENTAJE;50
001170;92004;02;01;NUMERO DE ASISTENTES A FORMACIÓN ESPECIALIZADA EN HABILIDADES DIRECTIVAS;NÚMERO;1000
001170;92004;03;04;NÚMERO DE ACTIVIDADES DE AUTOFORMACIÓN;NÚMERO;142
001170;92004;03;03;PORCENTAJE DE ALUMNAS ASISTENTES A AF VIRTUALES Y SEMIPRESENCIALES SOBRE EL TOTAL DE ASISTENTES;PORCENTAJE;50
001170;92004;03;02;PORCENTAJE DE ALUMNOS/AS ASISTENTES A AF VIRTUALES Y SEMIPRESENCIALES SOBRE EL TOTAL DE ASISTENTES A LAS AF PLANIFICADAS;PORCENTAJE;75
001170;92004;03;01;PORCENTAJE DE ACCIONES FORMATIVAS (AF) VIRTUALES Y SEMIPRESENCIALES SOBRE EL TOTAL DE AF PLANIFICADAS;PORCENTAJE;45
001170;92004;03;06;PORCENTAJE DE AF EN TECNOLOGÍAS SOBRE EL TOTAL DE AF;PORCENTAJE;28
001170;92004;03;05;EVALUACIÓN DE LA SATISFACCIÓN DE LAS ACTIVIDADES FORMATIVAS CON MODALIDAD DE GESTIÓN SEMIPRESENCIAL/VIRTUAL;PUNTUACIÓN S/10;8
001170;92004;04;09;NÚMERO DE AF GESTIONADAS POR EMPRESAS;NÚMERO;40
001170;92004;04;08;NÚMERO DE FORMADORES/AS;NÚMERO;400
001170;92004;04;07;NÚMERO DE COORDINADORES/AS;NÚMERO;200
001170;92004;04;06;PORCENTAJE DE FORMADORAS INSCRITAS EN LA BOLSA DE FORMADORES SOBRE EL TOTAL DE FORMADORES INSCRITOS;PORCENTAJE;50
001170;92004;04;05;NÚMERO DE FORMADORES INSCRITOS EN LA BOLSA DE FORMADORES;NÚMERO;244
001170;92004;04;04;PORCENTAJE DE ALUMNAS ASISTENTES FORMACIÓN EN CAPACITACIÓN DOCENTE SOBRE EL TOTAL DE ALUMNOS DESTINATARIOS;PORCENTAJE;50
001170;92004;04;03;NÚMERO DE ALUMNOS/AS ASISTENTES A FORMACIÓN EN CAPACITACIÓN DOCENTE;NÚMERO;65
001170;92004;04;02;NÚMERO DE AF REALIZADAS A TRAVÉS DE NUEVAS ESTRATEGIAS DE FORMACIÓN;NÚMERO;148
001170;92004;04;01;PORCENTAJE DE ACCIONES FORMATIVAS (AF) QUE TIENEN COMO OBJETIVO LA ADAPTACIÓN AL ENTORNO VUCA;PORCENTAJE;37
001170;92004;05;04;GRUPOS DE TRABAJO, ENCUENTROS, SEMINARIOS, CONFERENCIAS Y CURSOS;NÚMERO;2
001170;92004;05;03;NÚMERO DE TUTORES/AS DE PRÁCTICAS;NÚMERO;115
001170;92004;05;02;NÚMERO DE ALUMNOS/AS QUE REALIZAN LAS PRÁCTICAS;NÚMERO;220
001170;92004;05;01;CONVENIOS DE COLABORACIÓN FIRMADOS;NÚMERO;8
001170;92005;01;08;Informes emitidos en materia de relaciones laborales sobre consultas formuladas por los servicios municipales y organiza;NÚMERO/AÑO;45
001170;92005;01;07;Acuerdos negociados;NÚMERO/AÑO;10
001170;92005;01;06;Informes relativos a demandas ante los juzgados de lo social en materia de rrll;NÚMERO/AÑO;5
001170;92005;01;05;Informes relativos a Recursos Contencioso-Administrativos en materia de relaciones laborales;NÚMERO/AÑO;5
001170;92005;01;04;Reuniones Comisión de Seguimiento del Acuerdo Convenio;NÚMERO/AÑO;11
001170;92005;01;03;Reuniones de las Organizaciones Sindicales legitimadas para la negociación de las condiciones de trabajo del personal la;NÚMERO/AÑO;5
001170;92005;01;02;Reuniones Mesa General de Negociación de Personal Funcionario;NÚMERO/AÑO;8
001170;92005;01;01;Reuniones de la Mesa General de Empleados Públicos del Ayuntamiento de Madrid y sus OO.AA.;NÚMERO/AÑO;25
001170;92005;02;07;CONSULTAS ATENDIDAS EN MATERIA DE CONDICIONES LABORALES DE LOS EMPLEADOS PUBLICOS;NÚMERO/AÑO;400
001170;92005;02;01;ASAMBLEAS DE TRABAJADORES Y REUNIONES DE AFILIADOS TRAMITADAS;NÚMERO/AÑO;700
001170;92005;02;02;CONSULTAS RESUELTAS EN MATERIA DE GARANTIAS SINDICALES;NÚMERO/AÑO;300
001170;92005;02;06;COMUNICACIONES CREDITO HORARIO;NÚMERO/MES;150
001170;92005;02;05;EXPEDIENTES DE RELEVO DE SERVICIO;NÚMERO/AÑO;25
001170;92005;02;04;SUBVENCIONES OTORGADAS;NÚMERO/AÑO;4
001170;92005;02;03;RETENCIONES DE CUOTAS SINDICALES TRAMITADAS;NÚMERO/MES;8000
001170;92005;03;01;DOCUMENTOS ELABORADOS DESDE LA SG RELACIONES LABORALES EN MATERIA DE DERECHOS SINDICALES Y NEGOCIACION COLECTIVA;PORCENTAJE;100
001170;92005;04;03;ELABORACION INFORMES RECOPILATORIOS DOCTRINA JUDICIAL PARA UNIFICAR ACTUACIONES;NÚMERO/AÑO;10
001170;92005;04;02;ELABORACION DE INFORMES RELATIVOS A CONTROL ESTADISTICO Y ANALISIS DE RESOLUCIONES JUDICIALES FIRMES DICTADAS;NÚMERO/AÑO;12
001170;92005;04;01;RESOLUCIONES JUDICIALES A EJECUTAR;NÚMERO/AÑO;170
001170;92005;05;02;INFORMES ESTADISTICOS SOBRE EL CUMPLIMIENTO DE INFORMES DE VISTAS ORALES;NÚMERO/AÑO;12
001170;92005;05;01;INFORMES REMITIDOS A LA DIRECCION GENERAL DE LA ASESORIA JURIDICA;NÚMERO/AÑO;280
001170;92005;06;02;DEDUCCIONES PROPORCIONALES DE HABERES Y RETENCIONES DE NOMINAS TRAMITADAS;NÚMERO/AÑO;50
001170;92005;06;03;EXPEDIENTES DISCIPLINARIOS Y OTRAS ACTUACIONES EN LA MATERIA;NÚMERO/MES;60
001170;92005;06;04;ACTUACIONES EN RELACION CON LA GESTION DE LOS REGISTROS DE INTERESES PERSONAL DIRECTIVO Y EN MATERIA DE TRANSPARENCIA;NÚMERO/AÑO;130
001170;92005;06;05;INFORME RELATIVO A LA RESOLUCION DE CONFLICTOS INTERPERSONALES DE TRABAJADORES MUNICIPALES;NÚMERO/AÑO;8
001170;92005;06;01;EXPEDIENTES Y OTRAS ACTUACIONES EN MATERIA DE COMPATIBILIDAD TRAMITADOS;NÚMERO/AÑO;150
001170;92005;07;;;;0
001170;92007;01;10;TRAMITACIÓN DE ACTOS DE PERSONAL CON EFECTOS ECONÓMICOS;NÚMERO/AÑO;14500
001170;92007;01;09;ELABORACIÓN DE DATOS  PARA LA APROBACIÓN DE LA MASA SALARIAL DEL PERSONAL LABORAL;NÚMERO/AÑO;1
001170;92007;01;08;REMISIÓN DE DATOS RETRIBUTIVOS AL MINISTERIO DE HACIENDA Y ADMINISTRACIONES PÚBLICAS;NÚMERO/AÑO;1
001170;92007;01;07;CERTIFICADO ANUAL DE LAS RETENCIONES DEL IRPF;NÚMERO/AÑO;1
001170;92007;01;06;GESTIÓN DE LAS RETENCIONES A CUENTA DEL IRPF;NÚMERO/AÑO;12
001170;92007;01;05;GESTIÓN DE REINTEGROS Y ÓRDENES DE EMBARGO;NÚMERO/AÑO;12
001170;92007;01;04;SEGUIMIENTO DE LA LIQUIDACIÓN DE RETRIBUCIONES QUE NO SEAN FIJAS EN SU CUANTÍA NI PERIÓDICAS EN SU DEVENGO;NÚMERO/AÑO;12
001170;92007;01;03;SEGUIMIENTO DE LA LIQUIDACIÓN DE RETRIBUCIONES FIJAS;NÚMERO/AÑO;12
001170;92007;01;02;GESTIÓN DE LA NÓMINA MENSUAL;NÚMERO/AÑO;12
001170;92007;01;01;IMPLEMENTAR EN SAP LAS PREVISIONES DE LEY DE PRESUPUESTOS GENERALES PARA EL EJERCICIO 2022 Y DEMÁS NORMATIVA QUE SE APRU;NÚMERO/AÑO;1
001170;92007;02;08;TRAMITACIÓN DE ACTOS DE PERSONAL CON IMPACTO EN LOS MENSAJES DE AFILIACIÓN A LA TGSS (ALTA/BAJA/MODIFICACIÓN);NÚMERO/AÑO;14500
001170;92007;02;07;COMPROBACIÓN Y ENVÍO MENSUAL A LA TGSS DE LOS CONCEPTOS RETRIBUTIVOS ABONADOS (CRA).;NÚMERO/AÑO;12
001170;92007;02;06;GESTION CON LA TGSS DEL PAGO MENSUAL DE LOS RECIBOS DE LIQUIDACIÓN DE COTIZACIÓN (RCL) MEDIANTE EL SIST CARGO EN CTA;NÚMERO/AÑO;12
001170;92007;02;05;INCAPACIDAD TEMPORAL: CONTROL Y SEGUIMIENTO MENSUAL DEL ABSENTISMO (AT-EP-CC).;NÚMERO/AÑO;12
001170;92007;02;04;COTIZACIÓN A MUTUALIDADES Y DERECHOS PASIVOS.;NÚMERO/AÑO;14
001170;92007;02;03;GESTIÓN DE LAS BASES DE COTIZACIÓN DE LOS EMPLEADOS PUBLICOS: SEGUIMIENTO Y CONTROL;NÚMERO/AÑO;12
001170;92007;02;02;GESTIÓN, CONTROL Y SEGUIMIENTO DE LA AFILIACIÓN DE LOS EMPLEADOS PÚBLICOS MUNICIPALES.;NÚMERO/AÑO;12
001170;92007;02;01;IMPLEMENTAR LOS CAMBIOS NORMATIVOS QUE SE PRODUZCAN EN 2022 EN MATERIA DE SEGURIDAD SOCIAL Y MUTUALISMO ADMINISTRATIVO;NÚMERO/AÑO;1
001170;92007;03;07;PROPUESTAS DE MODIFICACIONES DE CRÉDITO;NÚMERO/AÑO;446
001170;92007;03;06;INFORMES ECONÓMICOS A LAS PROPUESTAS DE GRATIFICACIONES POR SERVICIOS EXTRAORDINARIOS, PRODUCTIVIDAD Y PREMIOS RENDIMIEN;NÚMERO/AÑO;3081
001170;92007;03;05;INFORMES DE VALORACIÓN ECONÓMICA DE LA GESTIÓN DE RRHH;NÚMERO/AÑO;2743
001170;92007;03;04;INFORMES DE COSTES DE LAS PROPUESTAS DE MODIFICACIÓN DE LA RPT Y PLANTILLA;NÚMERO/AÑO;337
001170;92007;03;03;INFORMES DE SEGUIMIENTO EJECUCIÓN PRESUPUESTARIA DEL CAPITULO 1;NÚMERO/AÑO;12
001170;92007;03;02;PROPUESTA DE PLANTILLA PRESUPUESTARIA;NÚMERO/AÑO;1
001170;92007;03;01;ASIGNACIÓN DE CRÉDITO CAPÍTULO 1 EN ANTEPROYECTO DE PRESUPUESTO;NÚMERO/AÑO;1
001170;92007;04;01;EXPEDIENTES MODIFICACIÓN DE RPT Y PP;NÚMERO/AÑO;479
001170;92007;04;02;PUESTOS AFECTADOS POR LAS MODIFICACIONES DE RPT Y/O PP;NÚMERO/AÑO;3967
001170;92007;04;03;INFORMES PRECEPTIVOS RELATIVOS A MODIFICACIÓN RPT DE OO.AA.;NÚMERO/AÑO;41
001170;92007;04;04;ELABORACIÓN DE DIRECTRICES, INSTRUCCIONES, ESTUDIOS E INFORMES;NÚMERO/AÑO;150
001170;92007;04;05;ELABORACIÓN DE INFORMES PARA SU PUBLICACIÓN EN LA PÁGINA WEB MUNICIPAL;NÚMERO/AÑO;65
001170;92007;04;06;TRAMITACIÓN RECLAMACIONES EN VÍA ADMINISTRATIVA Y EMISIÓN DE INFORMES REQUERIDOS EN VÍA JUDICIAL;NÚMERO/AÑO;125
001170;92007;04;07;VALORACIÓN PROPUESTAS DE EXPEDIENTES DE ACUMULACIÓN DE TAREAS Y PROGRAMAS DE EMPLEO TEMPORAL;NÚMERO/AÑO;76
001170;92007;05;01;PUESTOS CONVOCADOS EN CONCURSOS DE MÉRITOS;NÚMERO/AÑO;450
001170;92007;05;02;PUESTOS CONVOCADOS EN LIBRES DESIGNACIONES;NÚMERO/AÑO;250
001170;92007;05;03;ADSCRIPCIONES PROVISIONALES  Y CESES;NÚMERO/AÑO;450
001170;92007;05;04;COMISIONES DE SERVICIOS Y ATRIBUCIONES TEMPORALES;NÚMERO/AÑO;400
001170;92007;05;05;ELABORACIÓN DE INFORMES;NÚMERO/AÑO;145
001170;92007;05;06;CONTRATACIONES TEMPORALES PERSONAL LABORAL;NÚMERO/AÑO;700
001170;92007;05;07;LLAMAMIENTOS TEMPORADA DE VERANO INSTALACIONES DEPORTIVAS MUNICIPALES;NÚMERO/AÑO;680
001170;92007;05;08;TRAMITACIÓN DE BAJAS DEL PERSONAL LABORAL;NÚMERO/AÑO;1050
001170;92007;05;12;ASESORAMIENTO A TRABAJADORES Y SERVICIOS MUNICIPALES;NÚMERO/AÑO;450
001170;92007;05;11;JUBILACIONES PARCIALES Y CONTRATOS DE RELEVO;NÚMERO/AÑO;50
001170;92007;05;10;CAMBIOS DE TURNO, AMPLIACIONES DE JORNADA Y MEJORAS DE EMPLEO;NÚMERO/AÑO;35
001170;92007;05;09;ACTUACIONES SOBRE LISTAS DE ESPERA Y BOLSA DE EMPLEO PERSONAL LABORAL;NÚMERO/AÑO;7500
001170;92008;01;05;CATEGORIAS PROFESIONALES REVISADAS;NÚMERO;232
001170;92008;01;04;INFORMES DE EXPLOTACIÓN DE DATOS DE SISTEMAS DE INFORMACIÓN;NÚMERO;200
001170;92008;01;03;APROBACIÓN DE LA OFERTA DE EMPLEO PUBLICO;DÍAS;76
001170;92008;01;02;HERRAMIENTAS METODOLÓGICAS ELABORADAS;NÚMERO;4
001170;92008;01;01;ANÁLISIS Y ESTUDIOS SOBRE PERSONAL, ESTRUCTURAS Y RETRIBUCIONES.;NÚMERO;50
001170;92008;02;06;TIEMPO MEDIO DE TRAMITACIÓN DE LOS EXPEDIENTES DE DECLARACIÓN DE PERMISOS Y LICENCIAS SIN SUELDO;DÍAS;10
001170;92008;02;05;EXPEDIENTES REDUCCIONES DE JORNADA, PERMISOS Y LICENCIAS SIN SUELDO;NÚMERO;800
001170;92008;02;04;TIEMPO MEDIO DE TRAMITACIÓN DE LOS EXPEDIENTES DE REINGRESOS;DÍAS;21
001170;92008;02;03;REINGRESOS;NÚMERO;100
001170;92008;02;02;TIEMPO MEDIO DE TRAMITACIÓN DE LOS EXPEDIENTES DE DECLARACIÓN DE SITUACIONES ADMINISTRATIVAS;DÍAS;10
001170;92008;02;01;DECLARACIÓN DE SITUACIONES ADMINISTRATIVAS;NÚMERO;100
001170;92008;02;07;NÚMERO DE EXPEDIENTES TRAMITADOS ELECTRÓNICAMENTE;PORCENTAJE;70
001170;92008;03;05;GRADOS DIRECTIVOS;NÚMERO;8
001170;92008;03;01;RECONOCIMIENTO GRADO PARTICIPACIÓN CONCURSO MÉRITOS;NÚMERO;350
001170;92008;03;02;RECONOCIMIENTO Y CONVALIDACIÓN DE GRADO A INSTANCIA INTERESADO;NÚMERO;150
001170;92008;03;03;RECONOCIMIENTO DE OFICIO DEL GRADO PERSONAL;NÚMERO;1200
001170;92008;03;04;VERIFICACIÓN GRADO PARA CONCURSOS DE MÉRITOS;NÚMERO;2000
001170;92008;04;03;INSCRIPCIONES Y ANOTACIONES ELECTRÓNICAS EN EL REGISTRO DE PERSONAL;NÚMERO;20000
001170;92008;04;02;EMISIÓN DE CERTIFICADOS DIGITALES DE VIDA LABORAL;NÚMERO;1200
001170;92008;04;01;DIGITALIZACIÓN ARCHIVO;METROS;890
001170;92008;04;07;ACTUALIZACIÓN DE DOMICILIOS Y OTROS DATOS DE CARÁCTER PERSON;NÚMERO;500
001170;92008;04;06;TRANSFERENCIAS EXTERNAS DE CAJAS AL ARCHIVO DE VILLA;NÚMERO;250
001170;92008;04;05;PRÉSTAMO DE EXPEDIENTES PERSONALES Y ADMINISTRATIVOS;NÚMERO;1200
001170;92008;04;04;INVENTARIO Y DESCRIPCIÓN DE EXPEDIENTES PERSONALES Y ADMINIS;NÚMERO;2000
001170;92008;05;03;JUBILACION DEL PERSONAL;NÚMERO;750
001170;92008;05;02;EMISIÓN DE ANEXOS I;NÚMERO;450
001170;92008;05;01;RECONOCIMIENTO DE SERVICIOS;NÚMERO;550
001170;92008;06;02;TRAMITACIÓN DE LOS NOMBRAMIENTOS Y CESES DE PERSONAL EVENTUAL;NÚMERO;10
001170;92008;06;01;TRAMITACIÓN DE LOS NOMBRAMIENTOS Y CESES DE FUNCIONARIOS INTERINOS;NÚMERO;1500
001170;92008;07;04;ACCIONES DE DIFUSIÓN MADRID TALENTO PARA CAPTACIÓN DE ASPIRANTES;NÚMERO;3
001170;92008;07;03;PROCESOS ENCOMENDADOS A LA COMISIÓN PERMANENTE DE SELECCIÓN;NÚMERO/AÑO;10
001170;92008;07;02;INSTANCIAS PRESENTADAS ELECTRÓNICAMENTE Y GESTIÓN DE LISTAS;PORCENTAJE;100
001170;92008;07;01;REDUCCIÓN DE PLAZOS DE NEGOCIACIÓN DE BASES DESDE APROBACIÓN DE LAS OEP;PORCENTAJE;50
001170;92008;08;05;ACCESOS AL MANUAL DE ACOGIDA ONBOARDING MADRID;NÚMERO;200
001170;92008;08;04;ENCUESTAS DE COMPROMISO Y SATISFACCIÓN LABORAL;NÚMERO;1
001170;92008;08;03;VISITAS AL ESPACIO DE 'OPOSICIONES' DE LA WEB MUNICIPAL;NÚMERO;100000
001170;92008;08;02;TOMAS DE POSESIÓN DE PROCESOS PARA PERSONAS CON DISCAPACIDAD INTELECTUAL;NÚMERO;2
001170;92008;08;01;ACTOS DE TOMA DE POSESIÓN;NÚMERO;3
001170;92008;09;04;SOLICITUDES DE ACCESO A LA INFORMACIÓN PÚBLICA AL AMPARO DE LA LEY DE TRANSPARENCIA;PORCENTAJE;100
001170;92008;09;03;EXPEDIENTES REMITIDOS EN PLAZO A LOS JUZGADOS;PORCENTAJE;100
001170;92008;09;02;RECURSOS ADMINISTRATIVOS RESUELTOS EN PLAZO;PORCENTAJE;100
001170;92008;09;01;SUGERENCIAS Y RECLAMACIONES CONTESTADAS EN PLAZO;PORCENTAJE;100
001170;92310;01;11;Reducción en el número de certificados de empadronamiento;PORCENTAJE;10
001170;92310;01;10;Medidas de protección de datos. Solicitudes atendidas en 10 días;PORCENTAJE;95
001170;92310;01;09;Sugerencias y reclamaciones contestadas en 15 días o menos;PORCENTAJE;90
001170;92310;01;08;Notificaciones baja por caducidad de inscripción;NÚMERO/AÑO;12500
001170;92310;01;07;Preavisos de caducidad de inscripción de extranjeros;NÚMERO/AÑO;37000
001170;92310;01;06;Actualizaciones de datos remitidas al INE;NÚMERO/AÑO;12
001170;92310;01;05;Comunicaciones informativas sobre inscripción;NÚMERO/AÑO;335000
001170;92310;01;04;Certificados y volantes de inscripción padronal;NÚMERO/AÑO;900000
001170;92310;01;03;Altas por omisión y bajas por inscripción indebida;NÚMERO/AÑO;55000
001170;92310;01;02;Altas y bajas por traslado de residencia;NÚMERO/AÑO;235000
001170;92310;01;01;Altas por nacimiento y bajas por defunción;NÚMERO/AÑO;56000
001170;92310;02;05;Consultas a servicio Web de Padrón;NÚMERO;5500000
001170;92310;02;06;Incremento datos intercambiados con otras administraciones;PORCENTAJE;10
001170;92310;02;04;Registros de comprobación de empadronamiento;NÚMERO;15000
001170;92310;02;03;Informes sobre empadronamiento facilitadas a otras administraciones;NÚMERO;3000
001170;92310;02;02;Formación en gestión administrativa e informática del PMH;NÚMERO;50
001170;92310;02;01;Gestiones y consultas realizadas a través de Internet;NÚMERO;250000
001170;92310;03;09;Informes sobre desigualdad en mujeres y hombres;NÚMERO;1
001170;92310;03;08;Solicitudes de información con elaboración específica atendidas en el plazo de 30 días hábiles;PORCENTAJE;100
001170;92310;03;07;Información específica entregada en plazo de doce días hábiles;PORCENTAJE;95
001170;92310;03;06;Información elaborada atendidas en el plazo de diez días hábiles;PORCENTAJE;100
001170;92310;03;05;Información elaborada entregada en plazo de dos días hábiles;PORCENTAJE;95
001170;92310;03;04;Tablas estadísticas actualizadas;NÚMERO;3640
001170;92310;03;03;Publicación Padrón de Habitantes (sólo Web);NÚMERO;1
001170;92310;03;01;Boletines Estadísticos (sólo Web);NÚMERO;22
001170;92310;03;02;Publicación anuario (edición Web);NÚMERO;1
001170;92310;04;02;Secciones electorales;NÚMERO;2450
001170;92310;04;01;Colegios electorales;NÚMERO;428
001170;92310;04;03;Mesas electorales;NÚMERO;3718
001170;92310;04;04;Reclamaciones al censo electoral tramitadas en quince días;PORCENTAJE;100
001170;93100;01;01;CONTRATOS CON CLÁUSULAS IGUALDAD RELACIÓN AL EMPLEO FEMENINO;NÚMERO;1
001170;93100;01;02;COMISIONES DE SERVICIO GESTIONADAS;NÚMERO;10
001170;93100;01;11;CONTRATOS CON CLÁUSULAS DE IGUAL EN RELACIÓN AL LENGUAJE INCLUSIVO;PORCENTAJE;100
001170;93100;01;10;SERVICIOS CON VEHÍCULOS OFICIALES;NÚMERO;1000
001170;93100;01;09;SUPERFICIE EDIFICIOS ADSCRITOS AL ÁREA DE GOBIERNO;NÚMERO;59732
001170;93100;01;08;PETICIONES TRAMITADAS ANTE EL ORGANISMO AUTÓNOMO INFORMÁTICA AYUNTAMIENTO DE MADRID;NÚMERO;1400
001170;93100;01;07;PAGOS EFECTUADOS A TRAVÉS DEL ANTICIPO DE CAJA FIJA;NÚMERO;85
001170;93100;01;06;EXPEDIENTES DE CONTRATACIÓN TRAMITADOS;NÚMERO;70
001170;93100;01;05;PEDIDOS MEDIOS MATERIALES TRAMITADOS POR COMPRAS CENTRALIZADAS;NÚMERO;330
001170;93100;01;04;EDIFICIOS ADSCRITOS AL ÁREA DE GOBIERNO;NÚMERO;7
001170;93100;01;03;SESIONES Y CURSOS DE FORMACIÓN EN AULAS DEL ÁREA DE GOBIERNO;NÚMERO;120
001170;93100;02;02;MODIFICACIONES DE CRÉDITO TRAMITADAS;NÚMERO;20
001170;93100;02;01;INFORMES ELABORADOS RELATIVOS A LA EJECUCIÓN PRESUPUESTARIA;NÚMERO;50
001170;93100;03;04;ACCIONES FORMATIVAS;NÚMERO;25
001170;93100;03;03;GESTIÓN DE TIEMPOS DE PERSONAL DEL ÁREA DE GOBIERNO;NÚMERO;1962
001170;93100;03;02;EXPEDIENTES PROVISIÓN PUESTOS EN SUS DISTINTAS MODALIDADES;PORCENTAJE;100
001170;93100;03;01;EXPEDIENTES DE CREACIÓN Y MODIFICACIÓN PUESTOS DE TRABAJO;PORCENTAJE;100
001170;93100;04;02;ACTUACIONES DE FIRMA ELECTRÓNICA EFECTUADAS;NÚMERO;500
001170;93100;04;01;REGISTROS;NÚMERO;52000
001170;93100;05;03;RELACIÓN ENTRE LOS CONVOCADOS A LOS CURSOS Y LOS ASISTENTES;PORCENTAJE;80
001170;93100;05;02;SIMULACROS REALIZADOS;NÚMERO;6
001170;93100;05;01;CURSOS IMPARTIDOS;NÚMERO;28
001170;93100;06;14;Nº EXPEDIENTES DE INFORMACIÓN PÚBLICA TRAMITADOS;NÚMERO;80
001170;93100;06;13;SENTENCIAS FIRMES RECIBIDAS;NÚMERO;200
001170;93100;06;12;EXPEDIENTES PRESENTADOS EN LOS JUZGADOS Y TRIBUNALES A SU REQUERIMIENTO;NÚMERO;600
001170;93100;06;11;ALTAS DE EXPEDIENTES DE JUZGADOS Y TRIBUNALES;NÚMERO;1000
001170;93100;06;10;INSCRIPCIONES EN EL REGISTRO DE DECRETOS Y RESOLUCIONES;NÚMERO;15500
001170;93100;06;09;EDICTOS PUBLICADOS EN EL TABLÓN DE EDICTOS Y EN EL TEU;NÚMERO;450
001170;93100;06;08;PUBLICACIONES EN BOLETINES OFICIALES;NÚMERO;1000
001170;93100;06;07;CONVENIOS TRAMITADOS;NÚMERO;30
001170;93100;06;06;QUEJAS DEL DEFENSOR DEL PUEBLO TRAMITADAS;NÚMERO;50
001170;93100;06;05;INICIATIVAS DE LOS PLENOS DE LAS JUNTAS MUNICIPALES DE DISTRITO TRAMITADAS;NÚMERO;80
001170;93100;06;04;PETICIONES DE INFORMACIÓN TRAMITADAS;NÚMERO;100
001170;93100;06;03;EXPEDIENTES ELEVADOS AL PLENO;NÚMERO;700
001170;93100;06;02;EXPEDIENTES ELEVADOS A LA COMISIÓN DE HACIENDA Y ECONOMÍA;NÚMERO;600
001170;93100;06;01;EXPEDIENTES ELEVADOS A LA JUNTA DE GOBIERNO;NÚMERO;150
001170;93101;01;;;;0
001170;93101;02;;;;0
001170;93101;03;;;;0
001170;93101;04;;;;0
001170;93101;05;;;;0
001170;93101;06;03;Recursos contencioso-administrativo;NÚMERO;4
001170;93101;06;02;Recursos reposición resueltos;NÚMERO;10
001170;93101;06;01;Expedientes tramitados;NÚMERO;130
001170;93101;07;;;;0
001170;93102;01;01;Control interno efectivamente establecido;PORCENTAJE;100
001170;93105;01;;;;0
001170;93105;02;;;;0
001170;93105;03;;;;0
001170;93105;04;;;;0
001170;93105;05;;;;0
001170;93105;06;;;;0
001170;93105;07;;;;0
001170;93106;01;;;;0
001170;93106;02;;;;0
001170;93401;01;;;;0
001170;93401;02;;;;0
001170;93401;03;;;;0
001170;93401;04;;;;0
001170;93401;05;;;;0
001170;93405;01;05;PRESUPUESTO MONETARIO;NÚMERO/AÑO;1
001170;93405;01;04;INFORMES SOBRE FACTURAS PENDIENTES DE PAGO;NÚMERO/AÑO;48
001170;93405;01;03;ANÁLISIS DE PREVISIONES DE TESORERÍA ANUALES;NÚMERO/AÑO;4
001170;93405;01;02;PREVISIONES TRIMESTRALES;NÚMERO/AÑO;4
001170;93405;01;01;INFORMACIÓN DE POSICIÓN DE TESORERÍA SEMANAL;NÚMERO/AÑO;48
001170;93405;02;01;INFORMES DE FONDOS LÍQUIDOS MENSUALES-ARQUEOS DE TESORERÍA;NÚMERO/AÑO;12
001170;93405;03;;;;0
001170;93405;04;;;;0
001170;93405;05;;;;0
001170;93405;06;;;;0
001180;23100;01;08;CONVOCATORIAS PÚBLICAS DE SUBVENCIONES QUE RECOGEN CRITERIOS DE IGUALDAD;NÚMERO;5
001180;23100;01;07;INSCRIPCIONES EN EL LIBRO DE RESOLUCIONES;NÚMERO;6000
