Programa de financiación;Título;Ce.gestor;Funcional;Económico;Impte.mon.ent.CP;LI;Descripción Línea de Inversión;SL;Descripción Sublínea de Inversión;Distrito;Descripción
2020/000160;EDIFICIO SILO AGENTES DE MOVILIDAD. OBRAS ADECUACIÓN DE SEGURIDAD;1150;13301;63200;50.000,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;209;MONCLOA-ARAVACA
2019/000351;ADQUISICIÓN DE MOTOS PARA LOS AGENTES DE MOVILIDAD;1150;13301;63400;270.000,00;2;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;0;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2020/000178;SERVICIOS DE TRÁFICO, AGENTES DE MOVILIDAD. MOBILIARIO;1150;13301;63500;95.000,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000042;EQUIPOS DE COMUNICACIÓN PARA LOS AGENTES DE MOVILIDAD;1150;13301;63600;18.000,00;2;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;0;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2020/000044;APARCAMIENTO DISUASORIO EN SUPERFICIE PITIS. CONSTRUCCIÓN;1150;13302;60999;2.273.825,00;7;INFRAESTRUCTURAS;2;CONSTRUCCIÓN Y/O ADQUISICIÓN DE APARCAMIENTOS;208;FUENCARRAL-EL PARDO
2020/000209;OBRAS DE CONSTRUCCIÓN DE APARCAMIENTOS DISUASORIOS;1150;13302;60999;11.717.900,00;7;INFRAESTRUCTURAS;2;CONSTRUCCIÓN Y/O ADQUISICIÓN DE APARCAMIENTOS;998;VARIOS DISTRITOS
2020/000289;APARCAMIENTO DISUASORIO EN SUPERFICIE FUENTE DE LA MORA. CONSTRUCCIÓN;1150;13302;60999;1.440.429,00;7;INFRAESTRUCTURAS;2;CONSTRUCCIÓN Y/O ADQUISICIÓN DE APARCAMIENTOS;216;HORTALEZA
2017/001449;APARCAMIENTO SUBTERRÁNEO CAMINO DE VALDERRIBAS, PUENTE DE VALLECAS. CONSTRUCCIÓN;1150;13302;62200;161.647,00;7;INFRAESTRUCTURAS;2;CONSTRUCCIÓN Y/O ADQUISICIÓN DE APARCAMIENTOS;213;PUENTE DE VALLECAS
2020/000207;APARCAMIENTO DISUASORIO EN PASEO ARTILLEROS. CONSTRUCCIÓN;1150;13302;62200;2.179.721,00;7;INFRAESTRUCTURAS;2;CONSTRUCCIÓN Y/O ADQUISICIÓN DE APARCAMIENTOS;219;VICALVARO
2020/000204;SERVICIOS DE GESTIÓN DE APARCAMIENTOS. LINTERNAS, CÁMARAS DE FOTOS Y OTROS ÚTILES;1150;13302;63302;1.800,00;2;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;1;CONSERVACIÓN APARCAMIENTOS;998;VARIOS DISTRITOS
2011/000318;MADRID CALLE 30 S.A. INVERSIONES DE REPOSICIÓN;1150;15323;61901;11.130.105,00;7;INFRAESTRUCTURAS;1;CIRCUNVALACIÓN M-30;998;VARIOS DISTRITOS
2020/000278;OBRAS EJECUCIÓN NUDO NORTE M-30 MADRID;1150;15330;60999;3.300.000,00;7;INFRAESTRUCTURAS;1;CIRCUNVALACIÓN M-30;998;VARIOS DISTRITOS
2020/000280;PLAZA ELÍPTICA. OBRAS MEJORA DE LA MOVILIDAD;1150;15330;60999;100.000,00;7;INFRAESTRUCTURAS;6;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;998;VARIOS DISTRITOS
2020/000282;OBRAS DE EJECUCIÓN DEL SOTERRAMIENTO DE LA AUTOPISTA A-5 EN MADRID;1150;15330;60999;200.000,00;7;INFRAESTRUCTURAS;6;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;998;VARIOS DISTRITOS
2020/000284;OBRAS DE APARCAMIENTO Y MEJORA DE LA MOVILIDAD EN MENÉNDEZ PELAYO;1150;15330;62200;100.000,00;7;INFRAESTRUCTURAS;2;CONSTRUCCIÓN Y/O ADQUISICIÓN DE APARCAMIENTOS;203;RETIRO
2020/000286;SERVICIOS INFRAESTRUCTURAS DE MOVILIDAD. LINTERNAS, CÁMARAS FOTOS Y OTROS ÚTILES;1150;15330;62302;1.800,00;7;INFRAESTRUCTURAS;6;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;998;VARIOS DISTRITOS
2015/000223;TRAMO SUPERIOR ARROYO DE LOS MIGUELES. ACONDICIONAMIENTO;1150;16001;60904;1.069.172,00;9;MEDIO AMBIENTE;4;INSTALACIONES PARA LA DEPURACIÓN DEL AGUA;219;VICALVARO
2016/000919;RENATURALIZACIÓN RÍO MANZANARES ENTRE PUENTE DE LOS FRANCESES Y PUENTE REINA VICTORIA;1150;16001;60904;44.991,00;9;MEDIO AMBIENTE;7;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;209;MONCLOA-ARAVACA
2018/005260;ARROYO DE POZUELO. OBRAS DE ACONDICIONAMIENTO;1150;16001;60904;171.656,00;9;MEDIO AMBIENTE;7;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;209;MONCLOA-ARAVACA
2020/000162;DIQUE ARROYO MEAQUES. OBRAS DE ACTUACIÓN;1150;16001;60904;50.000,00;9;MEDIO AMBIENTE;7;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;209;MONCLOA-ARAVACA
2015/000215;COLECTOR DOBLADO DE VICÁLVARO. CONSTRUCCIÓN;1150;16001;60914;10.095.340,00;9;MEDIO AMBIENTE;3;ALCANTARILLADO Y COLECTORES;219;VICALVARO
2015/000216;DRENAJE VÍA DE SERVICIO DE LA N-III A LA ALTURA DEL ENSANCHE DE VALLECAS;1150;16001;60914;4.569.851,00;9;MEDIO AMBIENTE;3;ALCANTARILLADO Y COLECTORES;219;VICALVARO
2015/000224;AUMENTO DE LA CAPACIDAD DEL DESAGÜE DEL TRAMO INFERIOR ARROYO DE LOS MIGUELES;1150;16001;60914;110.000,00;9;MEDIO AMBIENTE;3;ALCANTARILLADO Y COLECTORES;219;VICALVARO
2019/000356;REDACCIÓN DE PROYECTOS INGENIERÍA DEL AGUA;1150;16001;60914;535.521,00;9;MEDIO AMBIENTE;7;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;998;VARIOS DISTRITOS
2019/000666;COLECTOR VICÁLVARO A, SECTOR LOS AHIJONES. CONSTRUCCIÓN;1150;16001;60914;2.487.910,00;9;MEDIO AMBIENTE;3;ALCANTARILLADO Y COLECTORES;219;VICALVARO
2020/000163;PARQUE LINEAL DEL MANZANARES CONCEPCION OLIVA. OBRAS DEL JARDÍN DE LLUVIA;1150;16001;60914;60.000,00;9;MEDIO AMBIENTE;3;ALCANTARILLADO Y COLECTORES;217;VILLAVERDE
2020/000164;COLECTOR LOPEZ DE HOYOS EN PASO INFERIOR ALFONSO XIII. OBRAS DOBLADO;1150;16001;60914;330.000,00;9;MEDIO AMBIENTE;3;ALCANTARILLADO Y COLECTORES;205;CHAMARTIN
2020/000168;REDACCIÓN DE PROYECTOS DE OBRAS INGENIERÍA DEL AGUA;1150;16001;60914;789.320,00;9;MEDIO AMBIENTE;4;INSTALACIONES PARA LA DEPURACIÓN DEL AGUA;998;VARIOS DISTRITOS
2017/000219;HIDRANTES EN LA VÍA PÚBLICA. INSTALACIÓN;1150;16001;60915;80.000,00;8;MANTENIMIENTO URBANO;2;VÍAS PÚBLICAS;998;VARIOS DISTRITOS
2018/005179;REHABILITACIÓN DEL CAJERO DEL RÍO MANZANARES A LA ALTURA DE LA PRESA 4;1150;16001;61999;170.663,00;9;MEDIO AMBIENTE;7;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;209;MONCLOA-ARAVACA
2018/005182;CENTRO DE CONTROL DE LA CHINA. INSTALACIÓN SISTEMA SUPERVISIÓN Y VIGILANCIA REMOTA;1150;16001;61999;44.005,00;9;MEDIO AMBIENTE;7;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;209;MONCLOA-ARAVACA
2018/005184;REHABILITACIÓN DEL VIAJE DE AGUA DE FUENTE DEL BERRO;1150;16001;61999;44.043,00;9;MEDIO AMBIENTE;7;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;204;SALAMANCA
2018/006544;PROLONGACIÓN DE LA RED DE AGUA REGENERADA AL PARQUE FLUVIAL DEL MANZANARES;1150;16001;61999;83.720,00;9;MEDIO AMBIENTE;4;INSTALACIONES PARA LA DEPURACIÓN DEL AGUA;998;VARIOS DISTRITOS
2019/000544;ESTACIÓN REGENERADORA DE AGUAS RESIDUALES DE REJAS. OBRAS ADECUACIÓN Y MEJORA;1150;16001;62700;84.852,00;9;MEDIO AMBIENTE;3;ALCANTARILLADO Y COLECTORES;221;BARAJAS
2019/000545;ESTACIÓN REGENERADORA DE AGUAS RESIDUALES DE VALDEBEBAS. OBRAS DE ADECUACIÓN Y MEJORA;1150;16001;62700;81.331,00;9;MEDIO AMBIENTE;3;ALCANTARILLADO Y COLECTORES;221;BARAJAS
2020/000249;PLATAFORMAS PREFABRICADAS PARA MEJORA DE ACCESIBILIDAD A CONTENEDORES DE RESIDUOS;1150;16210;62999;500.000,00;9;MEDIO AMBIENTE;5;TRATAMIENTO DE RESIDUOS;998;VARIOS DISTRITOS
2019/000217;PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ. SISTEMAS DE DESODORIZACIÓN BIOMETANIZACION;1150;16230;62701;7.514.134,00;9;MEDIO AMBIENTE;5;TRATAMIENTO DE RESIDUOS;218;VILLA DE VALLECAS
2019/000219;PLANTA BIOMETANIZACIÓN LAS DEHESAS . ADAPTACIÓN A RESIDUOS FORS;1150;16230;62701;1.816.838,00;9;MEDIO AMBIENTE;5;TRATAMIENTO DE RESIDUOS;218;VILLA DE VALLECAS
2019/000344;NUEVA PLANTA DE MATERIA ORGÁNICA EN EL PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ;1150;16230;62701;317.250,00;9;MEDIO AMBIENTE;5;TRATAMIENTO DE RESIDUOS;218;VILLA DE VALLECAS
2018/001158;ELEMENTOS DISUASORIOS DE PROTECCIÓN ANTITERRORISTA EN DIVERSAS ZONAS DE MADRID;1150;16301;60913;53.512,00;8;MANTENIMIENTO URBANO;1;MOBILIARIO URBANO;998;VARIOS DISTRITOS
2020/000270;ÁREAS DE JUEGO INFANTIL SINGULARES. INSTALACIÓN;1150;16301;60913;750.000,00;8;MANTENIMIENTO URBANO;1;MOBILIARIO URBANO;998;VARIOS DISTRITOS
2020/000271;ÁREAS DEPORTIVAS ELEMENTALES. INSTALACIÓN;1150;16301;60913;2.100.000,00;8;MANTENIMIENTO URBANO;1;MOBILIARIO URBANO;998;VARIOS DISTRITOS
2020/000272;ÁREAS INFANTILES DETERIORADAS. RENOVACIÓN;1150;16301;61913;1.500.000,00;8;MANTENIMIENTO URBANO;1;MOBILIARIO URBANO;998;VARIOS DISTRITOS
2020/000021;EQUIPAMIENTO SERVICIOS DEL ÁREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;1150;17000;62500;10.000,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000021;EQUIPAMIENTO SERVICIOS DEL ÁREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;1150;17000;62599;1.500,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2017/000696;FUENTES DE AGUA POTABLE EN EL DISTRITO CENTRO. INSTALACIÓN;1150;17101;60916;862.345,00;9;MEDIO AMBIENTE;2;FUENTES Y ESTANQUES;201;CENTRO
2017/007082;FUENTES DE AGUA POTABLE EN EL DISTRITO CENTRO. INSTALACIÓN (ID: 73);1150;17101;60916;4.405,00;9;MEDIO AMBIENTE;2;FUENTES Y ESTANQUES;201;CENTRO
2017/007094;NUEVAS FUENTES EN PARQUES DEL DISTRITO DE MORATALAZ. INSTALACIÓN (ID: 3588);1150;17101;60916;2.360,00;9;MEDIO AMBIENTE;2;FUENTES Y ESTANQUES;214;MORATALAZ
2017/007102;FUENTES DE AGUA POTABLE EN EL DISTRITO DE RETIRO. INSTALACIÓN (ID: 4801);1150;17101;60916;1.416,00;9;MEDIO AMBIENTE;2;FUENTES Y ESTANQUES;203;RETIRO
2017/007303;FUENTES AGUA POTABLE DISTRITO CHAMARTÍN. INSTALACIÓN (ID: 558);1150;17101;60916;1.888,00;9;MEDIO AMBIENTE;2;FUENTES Y ESTANQUES;205;CHAMARTIN
2017/007304;FUENTES DE AGUA PORTABLE EN EL DISTRITO DE LATINA. INSTALACIÓN (ID: 558);1150;17101;60916;1.731,00;9;MEDIO AMBIENTE;2;FUENTES Y ESTANQUES;210;LATINA
2017/007305;FUENTES DE AGUA POTABLE EN EL DISTRITO DE CARABANCHEL. INSTALACIÓN (ID: 558);1150;17101;60916;1.416,00;9;MEDIO AMBIENTE;2;FUENTES Y ESTANQUES;211;CARABANCHEL
2017/007306;FUENTES DE AGUA POTABLE EN EL DISTRITO DE USERA. INSTALACIÓN (ID: 558);1150;17101;60916;1.573,00;9;MEDIO AMBIENTE;2;FUENTES Y ESTANQUES;212;USERA
2017/007307;FUENTES DE AGUA POTABLE EN EL DISTRITO PUENTE DE VALLECAS. INSTALACIÓN (ID: 558);1150;17101;60916;1.731,00;9;MEDIO AMBIENTE;2;FUENTES Y ESTANQUES;213;PUENTE DE VALLECAS
2017/007344;FUENTES DE AGUA POTABLE DISTRITO ARGANZUELA. INSTALACIÓN (ID: 558);1150;17101;60916;787;9;MEDIO AMBIENTE;2;FUENTES Y ESTANQUES;202;ARGANZUELA
2017/007346;FUENTES DE AGUA POTABLE DISTRITO SALAMANCA. INSTALACIÓN (ID: 558);1150;17101;60916;787;9;MEDIO AMBIENTE;2;FUENTES Y ESTANQUES;204;SALAMANCA
2017/007347;FUENTES DE AGUA POTABLE DISTRITO TETUÁN. INSTALACIÓN (ID: 558);1150;17101;60916;787;9;MEDIO AMBIENTE;2;FUENTES Y ESTANQUES;206;TETUAN
2017/007348;FUENTES DE AGUA POTABLE DISTRITO CHAMBERÍ. INSTALACIÓN (ID: 558);1150;17101;60916;787;9;MEDIO AMBIENTE;2;FUENTES Y ESTANQUES;207;CHAMBERI
2017/007349;FUENTES DE AGUA POTABLE DISTRITO FUENCARRAL-EL PARDO. INSTALACIÓN (ID: 558);1150;17101;60916;630;9;MEDIO AMBIENTE;2;FUENTES Y ESTANQUES;208;FUENCARRAL-EL PARDO
2017/007350;FUENTES DE AGUA POTABLE DISTRITO MONCLOA-ARAVACA. INSTALACIÓN (ID: 558);1150;17101;60916;630;9;MEDIO AMBIENTE;2;FUENTES Y ESTANQUES;209;MONCLOA-ARAVACA
2017/007351;FUENTES AGUA POTABLE DISTRITO CIUDAD LINEAL. INSTALACIÓN (ID: 558);1150;17101;60916;787;9;MEDIO AMBIENTE;2;FUENTES Y ESTANQUES;215;CIUDAD LINEAL
2017/007352;FUENTES DE AGUA POTABLE DISTRITO HORTALEZA. INSTALACIÓN (ID: 558);1150;17101;60916;787;9;MEDIO AMBIENTE;2;FUENTES Y ESTANQUES;216;HORTALEZA
2017/007353;FUENTES DE AGUA POTABLE DISTRITO VILLAVERDE. INSTALACIÓN (ID: 558);1150;17101;60916;787;9;MEDIO AMBIENTE;2;FUENTES Y ESTANQUES;217;VILLAVERDE
2017/007354;FUENTES DE AGUA POTABLE DISTRITO VILLA DE VALLECAS. INSTALACIÓN (ID: 558);1150;17101;60916;787;9;MEDIO AMBIENTE;2;FUENTES Y ESTANQUES;218;VILLA DE VALLECAS
2017/007355;FUENTES DE AGUA POTABLE DISTRITO VICÁLVARO. INSTALACIÓN (ID: 558);1150;17101;60916;787;9;MEDIO AMBIENTE;2;FUENTES Y ESTANQUES;219;VICALVARO
2017/007356;FUENTES DE AGUA POTABLE DISTRITO SAN BLAS-CANILLEJAS. INSTALACIÓN (ID: 558);1150;17101;60916;787;9;MEDIO AMBIENTE;2;FUENTES Y ESTANQUES;220;SAN BLAS - CANILLEJAS
2017/007357;FUENTES DE AGUA POTABLE DISTRITO BARAJAS. INSTALACIÓN (ID: 558);1150;17101;60916;787;9;MEDIO AMBIENTE;2;FUENTES Y ESTANQUES;221;BARAJAS
2017/007083;REFORESTACIÓN DIVERSAS ZONAS DE MADRID. REDISTRIBUCIÓN ESPACIOS NATURALES (ID: 84);1150;17101;60921;59.631,00;9;MEDIO AMBIENTE;1;ZONAS AJARDINADAS;998;VARIOS DISTRITOS
2019/000374;ENSANCHE DE VALLECAS. ACONDICIONAMIENTO DE CAMINOS Y ZONAS ESTANCIALES;1150;17101;60921;536.600,00;9;MEDIO AMBIENTE;1;ZONAS AJARDINADAS;218;VILLA DE VALLECAS
2019/000646;REFORESTACIÓN PARAJES MONTECARMELO Y LAS TABLAS. REDISTRIBUCIÓN ESPACIOS NATURALES (2017/ID: 84);1150;17101;60921;356.700,00;9;MEDIO AMBIENTE;1;ZONAS AJARDINADAS;208;FUENCARRAL-EL PARDO
2019/000647;REFORESTACIÓN PARAJES SANCHINARRO. REDISTRIBUCIÓN ESPACIOS NATURALES (2017/ID: 84);1150;17101;60921;143.300,00;9;MEDIO AMBIENTE;1;ZONAS AJARDINADAS;216;HORTALEZA
2020/000169;PARQUE FORESTAL VALDEBEBAS. INSTALACION DE ASEOS PÚBLICOS;1150;17101;60999;395.000,00;9;MEDIO AMBIENTE;0;PARQUES;221;BARAJAS
2015/000213;FINCA DE TORRE ARIAS. REMODELACIÓN DEL ENTORNO;1150;17101;61920;400.000,00;9;MEDIO AMBIENTE;0;PARQUES;220;SAN BLAS - CANILLEJAS
2016/000471;PARQUE LINEAL DEL MANZANARES. DIVERSAS ACTUACIONES DE MEJORA;1150;17101;61920;144.795,00;9;MEDIO AMBIENTE;0;PARQUES;998;VARIOS DISTRITOS
2017/000242;PARQUE CUÑA VERDE O'DONNELL. AMPLIACIÓN;1150;17101;61920;6.387.928,00;9;MEDIO AMBIENTE;0;PARQUES;214;MORATALAZ
2017/000247;PARQUE MADRID RÍO. ACTUACIONES DE REHABILITACIÓN;1150;17101;61920;96.622,00;9;MEDIO AMBIENTE;0;PARQUES;998;VARIOS DISTRITOS
2017/000251;JARDINES DE SABATINI. REMODELACIÓN;1150;17101;61920;900.000,00;9;MEDIO AMBIENTE;0;PARQUES;201;CENTRO
2018/005206;AVENIDA DE LA GAVIA. OBRAS DE RIEGO, AJARDINAMIENTO Y REORDENACIÓN DE ESPACIOS;1150;17101;61920;250.000,00;9;MEDIO AMBIENTE;1;ZONAS AJARDINADAS;218;VILLA DE VALLECAS
2018/005208;LAS REJAS Y TAJAMARES DE ARROYOS ANTEQUINA Y PORTUGUÉS, CASA DE CAMPO. RECUPERACIÓN;1150;17101;61920;430.949,00;9;MEDIO AMBIENTE;0;PARQUES;209;MONCLOA-ARAVACA
2018/005223;PARQUE SIERRA DEL VALLE Y ALEDAÑOS. REHABILITACIÓN Y ORDENACIÓN DE USOS;1150;17101;61920;100.000,00;9;MEDIO AMBIENTE;0;PARQUES;213;PUENTE DE VALLECAS
2018/005224;PARQUE DE VALDEBERNARDO - M-40. REHABILITACIÓN Y ORDENACIÓN DE USOS;1150;17101;61920;209.000,00;9;MEDIO AMBIENTE;0;PARQUES;219;VICALVARO
2018/005233;JARDINES DEL BUEN RETIRO. REHABILITACIÓN INTEGRAL DEL PASEO DE MÉJICO;1150;17101;61920;1.771.746,00;9;MEDIO AMBIENTE;0;PARQUES;203;RETIRO
2018/005236;PARQUE DEL OESTE. ACONDICIONAMIENTO PASEOS PARA MOVILIDAD REDUCIDA EN LA ROSALEDA;1150;17101;61920;22.000,00;9;MEDIO AMBIENTE;0;PARQUES;209;MONCLOA-ARAVACA
2018/005238;VIVERO ESTUFAS DEL RETIRO. MEJORA DE ACCESOS Y ADAPTACIÓN A MOVILIDAD REDUCIDA;1150;17101;61920;30.000,00;9;MEDIO AMBIENTE;0;PARQUES;203;RETIRO
2018/005239;VIVERO ESTUFAS DEL RETIRO. INSTALACIÓN NUEVOS UMBRÁCULOS PARA MEJORA PRODUCCIÓN DE PLANTA;1150;17101;61920;85.000,00;9;MEDIO AMBIENTE;0;PARQUES;203;RETIRO
2019/000332;REDACCIÓN DE PROYECTOS PARQUES (REMODELACIÓN);1150;17101;61920;590.432,00;9;MEDIO AMBIENTE;0;PARQUES;998;VARIOS DISTRITOS
2020/000037;REDACCIÓN DE PROYECTOS DE OBRAS PATRIMONIO VERDE;1150;17101;61920;600.000,00;9;MEDIO AMBIENTE;0;PARQUES;998;VARIOS DISTRITOS
2020/000215;PLAN DIRECTOR DEL ARBOLADO DEL RETIRO;1150;17101;61920;797.500,00;9;MEDIO AMBIENTE;0;PARQUES;203;RETIRO
2020/000218;CASETA 1 DEL PARQUE DEL RETIRO. REMODELACIÓN;1150;17101;61920;54.982,00;9;MEDIO AMBIENTE;0;PARQUES;203;RETIRO
2020/000250;LA FAISANERA. ADECUACIÓN E INSTALACIONES;1150;17101;61920;150.000,00;9;MEDIO AMBIENTE;0;PARQUES;209;MONCLOA-ARAVACA
2020/000254;PLAN INTEGRAL DEL ARBOLADO DE LA CIUDAD DE MADRID Y ZONAS VERDES;1150;17101;61920;100.000,00;9;MEDIO AMBIENTE;0;PARQUES;998;VARIOS DISTRITOS
2018/005204;ZONA VERDE PLAZA PADRE LLANOS. REHABILITACIÓN DE USOS;1150;17101;61921;207.000,00;9;MEDIO AMBIENTE;1;ZONAS AJARDINADAS;213;PUENTE DE VALLECAS
2018/005227;PARQUE LINEAL DEL MANZANARES. EJECUCIÓN DE CANTÓN DE JARDINEROS;1150;17101;62200;36.000,00;9;MEDIO AMBIENTE;0;PARQUES;217;VILLAVERDE
2018/006536;PARQUE MADRID RÍO. INSTALACIÓN ESPACIOS EXPOSITIVOS DE LA NATURALEZA;1150;17101;62999;24.700,00;9;MEDIO AMBIENTE;0;PARQUES;202;ARGANZUELA
2020/000258;ÁREA FORESTAL TRES CANTOS. REPARACIÓN DE EDIFICACIONES;1150;17101;63200;1.000.000,00;9;MEDIO AMBIENTE;0;PARQUES;999;NO DISTRITALIZABLE
2016/000833;PARQUE DE LA GAVIA, DISTRITO VILLA DE VALLECAS. OBRAS DE REHABILITACIÓN;1150;17102;60920;8.698.519,00;9;MEDIO AMBIENTE;0;PARQUES;218;VILLA DE VALLECAS
2018/005221;PARQUE DE LA VICALVARADA. REHABILITACIÓN Y ORDENACIÓN DE USOS;1150;17102;61920;90.000,00;9;MEDIO AMBIENTE;0;PARQUES;219;VICALVARO
2018/005978;PARQUE ENRIQUE TIERNO GALVÁN. RECUPERACIÓN (ID 17: 665);1150;17102;61920;59.000,00;9;MEDIO AMBIENTE;0;PARQUES;202;ARGANZUELA
2018/008081;PARQUE DEL CERRO DEL TÍO PÍO. REMODELACIÓN (ID: 67);1150;17102;61920;188.000,00;9;MEDIO AMBIENTE;0;PARQUES;213;PUENTE DE VALLECAS
2018/005197;ZONA VERDE CAÑADA DEL SANTÍSIMO. REHABILITACIÓN Y ORDENACIÓN DE USOS;1150;17102;61921;35.000,00;9;MEDIO AMBIENTE;1;ZONAS AJARDINADAS;218;VILLA DE VALLECAS
2018/005979;MEJORA ZONAS VERDES Y CREACIÓN ÁREAS CANINAS EN LA CIUDAD DE MADRID (ID 17: 189,3305,4594;1150;17102;61921;60.000,00;9;MEDIO AMBIENTE;1;ZONAS AJARDINADAS;998;VARIOS DISTRITOS
2018/005980;C/ CORAZÓN DE MARÍA CON AV.AMÉRICA, 47. ADECUACIÓN ZONAS VERDES DE OCIO (ID 17: 2962,3221);1150;17102;61921;17.000,00;9;MEDIO AMBIENTE;1;ZONAS AJARDINADAS;205;CHAMARTIN
2018/005981;PLAZA SOBRE APARCAMIENTO RESIDENTES C/ ANTONIO MACHADO. AJARDINAMIENTO (ID 17: 3941);1150;17102;61921;32.000,00;9;MEDIO AMBIENTE;1;ZONAS AJARDINADAS;209;MONCLOA-ARAVACA
2018/005983;PLANTACIONES DE ARBOLADO DISTRITOS DE SAN BLAS-CANILLEJAS Y VICÁLVARO  (ID 17: 472,4019);1150;17102;61921;11.000,00;9;MEDIO AMBIENTE;1;ZONAS AJARDINADAS;998;VARIOS DISTRITOS
2018/005984;MEJORA INFRAESTRUCTURAS ZONAS VERDES DISTRITO SAN BLAS-CANILLEJAS (ID 17: 1804,4147);1150;17102;61921;30.000,00;9;MEDIO AMBIENTE;1;ZONAS AJARDINADAS;220;SAN BLAS - CANILLEJAS
2018/005985;MEJORA ZONAS VERDES USERA Y CREACIÓN ÁREAS CANINAS TETUÁN (ID 17: 4347,4618,4695,3804);1150;17102;61921;59.000,00;9;MEDIO AMBIENTE;1;ZONAS AJARDINADAS;998;VARIOS DISTRITOS
2018/005990;AVENIDA ORCASUR. REMODELACIÓN ZONAS VERDES;1150;17102;61921;14.000,00;9;MEDIO AMBIENTE;1;ZONAS AJARDINADAS;212;USERA
2020/000040;REDACCIÓN DE PROYECTOS DE OBRAS ZONAS VERDES;1150;17102;61921;297.616,00;9;MEDIO AMBIENTE;1;ZONAS AJARDINADAS;998;VARIOS DISTRITOS
2018/006762;ÁREAS INFANTILES DE LA CIUDAD DE MADRID. VALLADO Y CARTELES DE SEÑALIZACIÓN;1150;17103;60913;790.421,00;8;MANTENIMIENTO URBANO;1;MOBILIARIO URBANO;998;VARIOS DISTRITOS
2018/006761;MOBILIARIO URBANO DE LA CIUDAD DE MADRID. ADAPTACIÓN A NORMATIVA DE ACCESIBILIDAD;1150;17103;61913;500.571,00;8;MANTENIMIENTO URBANO;1;MOBILIARIO URBANO;998;VARIOS DISTRITOS
2020/000167;PARADAS DE AUTOBÚS ACCESIBLES EN LA CIUDAD DE MADRID. OBRAS DE ADECUACIÓN;1150;44110;60913;450.000,00;2;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;2;TRANSPORTE PÚBLICO;998;VARIOS DISTRITOS
2018/005991;PARQUE DE PRADOLONGO. REGENERACIÓN;1150;17102;61920;55.000,00;9;MEDIO AMBIENTE;0;PARQUES;212;USERA
2018/005992;PARQUE DE PLATA Y CASTAÑAR. REHABILITACIÓN;1150;17102;61920;49.000,00;9;MEDIO AMBIENTE;0;PARQUES;217;VILLAVERDE
2018/005982;MEJORA INFRAESTRUCTURAS ZONAS VERDES DISTRITOS VICÁLVARO Y MORATALAZ (ID 17: 2285,5152);1150;17102;61921;39.000,00;9;MEDIO AMBIENTE;1;ZONAS AJARDINADAS;998;VARIOS DISTRITOS
2018/005986;C/ JAZMÍN. MEJORAS ZONAS AJARDINADAS ENTORNO URBANO;1150;17102;61921;17.000,00;9;MEDIO AMBIENTE;1;ZONAS AJARDINADAS;215;CIUDAD LINEAL
2018/005987;BARRIO PUEBLO NUEVO. MEJORA ESCENA URBANA Y REHABILITACIÓN ZONAS VERDES;1150;17102;61921;33.000,00;9;MEDIO AMBIENTE;1;ZONAS AJARDINADAS;215;CIUDAD LINEAL
2018/005988;BARRIO LA ELIPA. REHABILITACIÓN ESCENA URBANA Y ZONAS VERDES;1150;17102;61921;15.500,00;9;MEDIO AMBIENTE;1;ZONAS AJARDINADAS;215;CIUDAD LINEAL
2018/005989;C/ PROVENCIO. ACTUACIÓN EN ZONA VERDE CON ZONA INFANTIL Y DE MAYORES;1150;17102;61921;60.000,00;9;MEDIO AMBIENTE;1;ZONAS AJARDINADAS;216;HORTALEZA
