CeGe;Prog. Finan.;Objetivo;Hipertexto Objetivo;
001180;23102;08;FOMENTAR LA COLABORACIÓN DE LAS ORGANIZACIONES SIN ÁNIMO DE LUCRO EN EL DESARROLLO DE PROYECTOS DIRIGIDOS A LAS FAMILIAS Y LA INFANCIA.;
001180;23102;09;SENSIBILIZAR A LA SOCIEDAD EN RELACIÓN A LAS NECESIDADES DE LAS FAMILIAS Y LA INFANCIA.;
001180;23102;10;PROMOVER LA COLABORACIÓN INTERADMINISTRATIVA PARA HACER MÁS EFICACES LAS POLÍTICAS PÚBLICAS A FAVOR DE LAS FAMILIAS Y LA INFANCIA.;
001180;23103;01;GARANTIZAR EL ACCESO DE LAS/OS MAYORES A LA INFORMACIÓN SOBRE LOS  SERVICIOS SOCIALES MUNICIPALES.;
001180;23103;02;EVALUAR Y REALIZAR UN ADECUADO Y PERIÓDICO CONTROL DE CALIDAD DE LOS  SERVICIOS DE ATENCIÓN A LAS PERSONAS MAYORES QUE REVIERTA EN UNA MEJOR ATENCIÓN DE ÉSTAS.;
001180;23103;03;FAVORECER LA PERMANENCIA EN EL DOMICILIO DE LAS PERSONAS MAYORES  Y PERSONAS CON DISCAPACIDAD Y APOYAR A LA FAMILIA EN EL CUIDADO DE LAS PERSONAS DEPENDIENTES.;
001180;23103;04;OFRECER ATENCIÓN RESIDENCIAL A PERSONAS MAYORES.;
001180;23103;05;FOMENTAR LA PARTICIPACIÓN SOCIAL Y PROMOVER EL ENVEJECIMIENTO ACTIVO.;
001180;23103;06;ATENDER A PERSONAS MAYORES EN RIESGO O/Y SITUACIÓN DE MALTRATO Y  VULNERABILIDAD SOCIAL: SOLEDAD, AISLAMIENTO, NEGLIGENCIA Y/O MALTRATO.;
001180;23103;07;ESTABLECIMIENTO DE UN SISTEMA DE MEJORA CONTINUA PARA CONSEGUIR QUE  MADRID SEA UNA CIUDAD AMIGABLE CON LAS PERSONAS MAYORES.;
001180;23103;08;TRAMITAR LAS SOLICITUDES DE VALORACIÓN Y RECONOCIMIENTO DE LAS  SITUACIONES DE DEPENDENCIA EN VIRTUD DE LAS FUNCIONES ASIGNADAS AL AYUNTAMIENTO DE MADRID POR LA NORMATIVA AUTONÓMICA Y ESTATAL VIGENTES.;
001180;23104;01;GENERAR CONCIENCIA SOBRE LA NECESIDAD DE UNA SOCIEDAD EN IGUALDAD DE  OPORTUNIDADES ENTRE MUJERES Y HOMBRES Y LIBRE DE DISCRIMINACIONES.;
001180;23104;02;PROMOVER EL PRINCIPIO DE IGUALDAD DE GÉNERO EN LA GESTIÓN Y ACCIÓN  MUNICIPAL.;
001180;23104;03;IMPULSAR PROYECTOS DE COOPERACIÓN INSTITUCIONAL PARA ABORDAR DE FORMA  TRANSVERSAL LAS PRINCIPALES BRECHAS DE GÉNERO EN LA CIUDAD DE MADRID.;
001180;23104;04;PROMOVER LA IGUALDAD DE GÉNERO Y FOMENTAR EL EMPODERAMIENTO DE LAS MUJERES PARA LOGRAR UNA SITUACIÓN Y POSICIÓN DE EQUIDAD EN LA SOCIEDAD.;
001180;23104;05;PROMOVER LOS DERECHOS Y OPORTUNIDADES DE LAS PERSONAS LGTBI Y ERRADICAR  SU DISCRIMINACIÓN.;
001180;23104;06;PROMOVER LA NO DISCRIMINACIÓN DE LA POBLACIÓN GITANA Y FOMENTAR EL EMPODERAMIENTO DE LAS MUJERES GITANAS;
001180;23106;01;GARANTIZAR EL ACCESO DE LAS/OS CIUDADANAS/OS A LOS SERVICIOS SOCIALES MUNICIPALES E INFORMAR A LA CIUDADANÍA SOBRE LOS RECURSOS Y PROGRAMAS DE ATENCIÓN SOCIAL PRIMARIA.;
001180;23106;02;ATENDER A PERSONAS Y FAMILIAS EN SITUACIÓN DE EXCLUSIÓN SOCIO RESIDENCIAL CON ALOJAMIENTOS ALTERNATIVOS TEMPORALES.;
001180;23106;03;PRESTAR ATENCIÓN EN LAS EMERGENCIAS: INDIVIDUALES, FAMILIARES COLECTIVAS Y GRANDES EMERGENCIAS QUE SE PRODUZCAN EN LA CIUDAD DE MADRID.;
001180;23106;04;INCREMENTAR LA CAPACIDAD DE ATENCIÓN SOCIAL Y ALOJAMIENTO DE LAS PERSONAS EN SITUACION DE EXCLUSIÓN SOCIO RESIDENCIAL  MEDIANTE LA CAMPAÑA MUNICIPAL DE FRÍO.;
001180;23106;05;PROPORCIONAR PRESTACIONES ECONÓMICAS A PERSONAS Y FAMILIAS EN SITUACIÓN DE EMERGENCIA SOCIAL O DE EXCLUSIÓN SOCIAL.;
001180;23106;06;PRESTAR INFORMACIÓN, ASESORAMIENTO Y ATENCIÓN SOCIAL Y/O JURÍDICA A PERSONAS Y FAMILIAS EN SITUACIÓN DE EXCLUSIÓN RESIDENCIAL POR RIESGO DE PÉRDIDA DE VIVIENDA.;
001180;23106;07;FAVORECER UNA MAYOR CUALIFICACIÓN Y CALIDAD ASISTENCIAL EN LA ATENCIÓN EN INTERVENCIÓN DE LOS PROFESIONALES DE LA RED DE ATENCIÓN SOCIAL PRIMARIA ACORDE CON LOS COMPROMISOS ADQUIRIDOS CON LA CIUDADANÍA EN LA CARTA DE SERVICIOS DE LOS CENTROS DE ATENCIÓN SOCIAL PRIMARIA.;
001180;23106;08;PROMOVER UNA INFORMACIÓN DE CALIDAD EN MATERIA DE SERVICIOS SOCIALES EN LOS PROFESIONALES MUNICIPALES CON COMPETENCIA EN LA ATENCIÓN SOCIAL PRIMARIA.;
001180;23106;09;ATENDER LAS NECESIDADES BÁSICAS DE FAMILIAS EN SITUACIÓN DE  VULNERABILIDAD, MEDIANTE LA GESTIÓN DE PRESTACIONES ECONÓMICAS;
001180;23106;10;PROMOVER LA IGUALDAD, INCLUSIÓN SOCIAL Y ACCCESIBILIDAD UNIVERSAL, PARA LAS PERSONAS CON DISCAPACIDAD;
001180;23107;01;OFRECER INFORMACIÓN GENERAL Y ESPECIALIZADA Y FORMACIÓN A LA POBLACIÓN DE ORIGEN EXTRANJERO.;
001180;23107;02;OFRECER ALOJAMIENTO, ATENCIÓN A LAS NECESIDADES BÁSICAS E INTERVENCIÓN SOCIAL A LAS PERSONAS EXTRANJERAS EN RIESGO DE EXCLUSIÓN SOCIAL.;
001180;23107;03;GARANTIZAR LA ATENCIÓN DE NECESIDADES BÁSICAS A PERSONAS Y FAMILIAS SOLICITANTES DE ASILO Y REFUGIO;
001180;23107;04;FOMENTAR ACTUACIONES DE CONVIVENCIA INTERCULTURAL Y DE PARTICIPACIÓN CIUDADANA EN EL MUNICIPIO DE MADRID QUE FOMENTEN LA COHESIÓN SOCIAL.;
001180;23107;05;REALIZAR ACTUACIONES PARA PREVENIR ACTITUDES RACISTAS Y XENÓFOBAS EN LA SOCIEDAD MADRILEÑA;
001180;23107;06;FAVORECER LA INCLUSIÓN SOCIAL DE PERSONAS EN SITUACIÓN DE SINHOGARISMO Y EN SITUACIÓN DE VULNERABILIDAD O EXCLUSIÓN SOCIAL;
001180;23107;07;ATENCIÓN A LAS PERSONAS SIN HOGAR A TRAVÉS DE LA RED MUNICIPAL Y LA RED DE INICIATIVA SOCIAL;
001180;23107;08;PROPORCIONAR PRESTACIONES ECONÓMICAS A PERSONAS Y FAMILIAS EN SITUACIÓN DE EMERGENCIA SOCIAL O DE EXCLUSIÓN SOCIAL.;
001180;23107;09;FOMENTAR PROYECTOS COMPLEMENTARIOS DE ACTUACIONES MUNICIPALES PROMOVIDOS POR ASOCIACIONES Y ENTIDADES E INSTITUCIONES SIN ÁNIMO DE LUCRO QUE TRABAJEN A FAVOR DE LA INCLUSIÓN SOCIAL DE COLECTIVOS VULNERABLES Y PERSONAS SIN HOGAR.;
001180;23109;01;APOYAR LAS ACTIVIDADES DE INNOVACIÓN Y ESTRATEGIA SOCIAL QUE LLEVA A CABO ESTA DIRECCIÓN GENERAL A TRAVÉS DE ESTUDIOS Y CONSULTORÍAS.;
001180;23109;02;APOYAR LAS TAREAS DE LA SG INNOVACIÓN SOCIAL EN ORDEN AL DESARROLLO DE UN PROGRAMA DE GESTIÓN DEL TALENTO EN LA INNOVACIÓN SOCIAL VINCULADO CON LAS NECESIDADES PLANTEADAS POR LOS SERVICIOS SOCIALES MUNICIPALES A TRAVES DE LA ORGANIZACIÓN DE UN EQUIPO DE TRABAJO QUE PERMITA LA PARTICIPACIÓN DE ENTIDADES EXTERNAS.;
001180;23110;01;Desarrollar el Programa Municipal de Voluntariado, 'Voluntari@s por Madrid', impulsando nuevas acciones que motiven a los ciudadanos a participar activamente. Generar actividades y espacios de relación y encuentro y prestar una especial atención a las personas voluntarias, promoviendo su fidelización, satisfacción y permanencia;
001180;23110;02;DESARROLLAR PROYECTOS PUNTUALES Y PERMANENTES DE VOLUNTARIADO EN LA CIUDAD, IMPULSANDO LA PARTICIPACIÓN ACTIVA DE LOS VOLUNTARIOS Y VOLUNTARIAS.;
001180;23110;03;INCREMENTAR LA COLABORACIÓN Y PARTICIPACIÓN DE ENTIDADES SOCIALES, INSTITUCIONES Y OTROS ORGANISMOS EN PROYECTOS DE VOLUNTARIADO Y ACCIONES SOLIDARIAS DE LA CIUDAD DE MADRID, FOMENTANDO ESPECIALMENTE LA INNOVACIÓN, EL DESARROLLO DE PROYECTOS Y LA COORDINACIÓN DE LOS DIFERENTES AGENTES EN PRO DE LA EFICACIA Y LA EFICIENCIA DE RESULTADOS.;
001180;23110;04;Difusión y sensibilización del voluntariado. Promover actuaciones de difusión y sensibilización en materia de participación activa de los madrileños, a través del voluntariado y la implicación con el entorno. Dar a conocer 'Voluntari@s por Madrid' y todos los proyectos de voluntariado de la ciudad, con el objetivo de impulsar el voluntariado y la solidaridad. Seguir desarrollando la Comunidad Virtual de Voluntariado y otras plataformas impulsoras del programa.;
001180;23179;01;ADAPTACIÓN DE TRES RESIDENCIAS MUNICIPALES PARA DESARROLLAR UN MODELO DE CONVIVENCIA QUE FAVOREZCA LA INCLUSIÓN, CENTRADO EN LA CALIDAD DE VIDA Y AUTONOMÍA DE LOS USUARIOS.;
001180;23290;01;PROMOVER UNA CIUDADANÍA COMPROMETIDA Y ACTIVA CON LA DEFENSA DEL PLANETA,  LA PROSPERIDAD DE TODAS LAS PERSONAS, UN CRECIMIENTO SOSTENIBLE E INCLUSIVO Y LA DEFENSA DE LOS DERECHOS HUMANOS Y LA IGUALDAD DE GÉNERO EN SOCIEDADES PACÍFICAS Y LIBRES DE TODO TIPO DE VIOLENCIA.;
001180;23290;02;PROMOVER MEDIANTE ACCIONES DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO, PROCESOS DE DESARROLLO ECONÓMICO Y SOCIAL SOSTENIBLES, CREACIÓN DE INFRAESTRUCTURAS RESILIENTES, ACCESO DE TODAS LAS PERSONAS A LOS BIENES PÚBLICOS GLOBALES, FORTALECIMIENTO INSTITUCIONAL PARA UNA GOBERNANZA DEMOCRÁTICA Y JUSTA Y UNA EDUCACIÓN INCLUSIVA DE CALIDAD;
001180;23290;03;CONTRIBUIR A REDUCIR LA POBREZA Y EL HAMBRE, GARANTIZAR LA SALUD, PROTEGER LOS DERECHOS HUMANOS Y GARANTIZAR LA EDUCACIÓN DE LA POBLACIÓN AFECTADA POR CRISIS HUMANITARIAS;
001180;32301;01;MANTENER Y MEJORAR LA CALIDAD DEL SERVICIO QUE SE PRESTA EN LA RESIDENCIA INTERNADO SAN ILDEFONSO, GARANTIZANDO LA ATENCIÓN EDUCATIVA Y CUIDADO DE LOS MENORES.;
001180;32301;02;POTENCIAR Y OPTIMIZAR LA CALIDAD DE LA RED DE ESCUELAS INFANTILES DEL AYUNTAMIENTO DE MADRID.;
001180;32301;03;IMPULSAR AYUDAS A LA ESCOLARIZACIÓN EN EL PRIMER CICLO DE EDUCACIÓN INFANTIL CONTRIBUYENDO ASÍ, A LA UNIVERSALIZACIÓN DEL PRIMER CICLO DE ESTAS ENSEÑANZAS, PROMOVIENDO EL DESARROLLO DE LOS NIÑOS Y NIÑAS Y FACILITANDO LA CONCILIACIÓN DE LA VIDA FAMILIAR Y LABORAL.;
001180;32501;01;PREVENCIÓN, SEGUIMIENTO Y CONTROL DEL ABSENTISMO ESCOLAR.;
001180;32501;02;REALIZAR ACTUACIONES DE APOYO Y REFUERZO EDUCATIVO PARA PREVENIR EL FRACASO ESCOLAR.;
001180;32501;03;PROGRAMA DE DESARROLLO PSICOEDUCATIVO PARA MENORES VULNERABLES EN EDAD DE ESCOLARIZACIÓN OBLIGATORIA.;
001180;32601;01;ORGANIZAR Y COORDINAR ACTIVIDADES COMPLEMENTARIAS A LA ENSEÑANZA. APOYO AL CURRÍCULO ESCOLAR.;
001180;32601;02;ORGANIZAR PROGRAMAS DE ACTIVIDADES PARA FAVORECER LA CONCILIACIÓN DE LA VIDA FAMILIAR Y LABORAL: CENTROS ABIERTOS EN INGLÉS Y CENTRO DE VACACIONES NUESTRA SEÑORA DE LA PALOMA (CERCEDILLA).;
001180;32601;03;APOYAR A PERSONAS CON NECESIDADES EDUCATIVAS ESPECIALES EN HORARIO LECTIVO Y EN PERIODOS VACACIONALES.;
001180;32601;04;CONSOLIDAR LA RED DE ESCUELAS MUNICIPALES DE MÚSICA Y DANZA, OPTIMIZAR SU CALIDAD EDUCATIVA, CONSOLIDAR SU IMPACTO EN EL ENTORNO Y DISEÑAR NUEVOS PROYECTOS.;
001180;32601;05;CONSOLIDAR EL PROYECTO Y LA CALIDAD DE LA ESCUELA MUNICIPAL DE ARTE DRAMÁTICO COMO REFERENTE CULTURAL Y SOCIAL DE SU ENTORNO.;
001180;32601;06;MANTENER LA LABOR DEL CENTRO DE RECURSOS COMO SERVICIO DE DIVULGACIÓN A PROFESIONALES Y CIUDADANÍA.;
001180;32601;07;RESPONDER A LA CIUDADANÍA A LAS SUGERENCIAS, RECLAMACIONES Y DEMANDAS DE INFORMACIÓN RELATIVAS A LOS RECURSOS, SERVICIOS Y ACTIVIDADES DE LA DIRECCIÓN GENERAL DE EDUCACIÓN, JUVENTUD Y VOLUNTARIADO;
001180;32601;08;CONSOLIDAR EL PROYECTO EDUCATIVO DE LA ESCUELA DE CERÁMICA DE LA MONCLOA, MANTENIENDO LA COLABORACIÓN CON OTRAS INSTITUCIONES Y ORGANIZACIONES CIUDADANAS.;
001180;32601;09;PROGRAMAS FORMATIVOS DE PERSONAS ADULTAS.;
001180;32601;10;OFRECER INFORMACION ACTUALIZADA, CLARA Y ACCESIBLE SOBRE LAS ESCUELAS MUNICIPALES DE ARTES.;
001180;33701;01;FOMENTAR EL OCIO SALUDABLE PARA EVITAR DESIGUALDADES Y EL RIESGO DE EXCLUSIÓN ENTRE LOS JÓVENES.;
001180;33702;01;PROMOVER E IMPULSAR LA PARTICIPACIÓN JUVENIL.;
001180;33702;02;FOMENTAR E IMPULSAR LA IGUALDAD DE GÉNERO EN LA POBLACIÓN JUVENIL.;
001180;33702;03;FOMENTAR EL OCIO SALUDABLE PARA EVITAR DESIGUALDADES Y EL RIESGO DE EXCLUSIÓN ENTRE JÓVENES.;
001180;33702;04;COMPENSAR DESIGUALDADES EN EL IMPULSO DE LA RED DE INFORMACIÓN JUVENIL Y ASESORAMIENTO A JÓVENES.;
001180;33702;05;PROMOVER ACTIVIDADES DE FORMACIÓN Y CAPACITACIÓN CURRICULAR.;
001180;33702;06;EL FOMENTO E IMPULSO DE LA CULTURA Y EL TALENTO ENTRE JÓVENES.;
001180;91208;01;EJERCER LAS FUNCIONES DE REPRESENTACIÓN DEL ÁREA DE GOBIERNO DE  POLITICAS SOCIALES, FAMILIA E IGUALDAD.;
001190;15320;01;OPTIMIZAR LA GESTIÓN DE LOS SERVICIOS Y MEDIOS MATERIALES DE LAS UNIDADES ADMINISTRATIVAS DEL ÁREA DE GOBIERNO DE OBRAS Y EQUIPAMIENTOS, MEDIANTE LA TRAMITACIÓN DE LOS CORRESPONDIENTES EXPEDIENTES DE GASTO Y CONTRATACIÓN ASÍ COMO ASEGURAR EL FUNCIONAMIENTO DE LOS SERVICIOS INTERNOS DENTRO DE LOS PRINCIPIOS DE EFICIENCIA Y ECONOMÍA.;
001190;15320;02;CONSEGUIR UNA MAYOR RACIONALIZACIÓN EN LA GESTIÓN DE LOS RECURSOS ECONÓMICOS DEL ÁREA DE GOBIERNO, PRESTANDO APOYO A LOS DISTINTOS CENTROS DIRECTIVOS DEPENDIENTES DE ÉSTA Y LOGRAR UNA ADECUADA PLANIFICACIÓN DEL PRESUPUESTO Y DEL SEGUIMIENTO DE SU EJECUCIÓN.;
001190;15320;03;ATENDER LAS NECESIDADES DE LAS UNIDADES ADMINISTRATIVAS RELACIONADAS CON LA GESTIÓN DE SUS RECURSOS HUMANOS MEDIANTE LA PLANIFICACIÓN Y PROVISIÓN DE PUESTOS DE TRABAJO.;
001190;15320;04;ASESORAMIENTO JURÍDICO A LOS ÓRGANOS DIRECTIVOS DEL ÁREA, TRAMITACIÓN DE LAS PROPUESTAS DEL ÁREA DE GOBIERNO QUE SE ELEVAN A LA JUNTA DE GOBIERNO DE LA CIUDAD DE MADRID Y AL PLENO DEL AYUNTAMIENTO, ASÍ COMO GESTIÓN DE LAS RELACIONES CON LOS JUZGADOS Y TRIBUNALES DE JUSTICIA EN RELACIÓN CON LOS EXPEDIENTES TRAMITADOS POR EL ÁREA DE GOBIERNO.;
001190;15320;05;ASEGURAR EL CUMPLIMIENTO DE LAS MEDIDAS DE SEGURIDAD Y SALUD EN EL TRABAJO EN LOS EDIFICIOS ADSCRITOS AL ÁREA DE GOBIERNO DE OBRAS Y EQUIPAMIENTOS.;
001190;15321;01;Adecuación de vías y espacios públicos.;
001190;15321;02;Reducción de barreras urbanísticas en vías y espacios públicos.;
001190;15321;03;Garantizar la correcta gestión de la calidad y seguridad y salud de las obras ejecutadas por la Dirección General.;
001190;15321;04;Actualización de instrumentos reguladores de la ejecución de obras.;
001190;15321;05;Gestión de licencias de obras en vía pública.;
001190;15321;06;Redacción de proyectos de obras.;
001190;15321;07;Inventario de estado de los pavimentos.;
001190;15321;08;Obras de urbanización de vías públicas por los sistemas de expropiación y cooperación, así como sobre cesiones de suelo urbano consolidado.;
001190;15321;09;Gestión del Inventario de Vías Públicas.;
001190;15321;10;OBRAS DE REPARACIÓN Y RENOVACIÓN DE TÚNELES CENTRALIZADOS.;
001190;15323;01;GESTIÓN Y EXPLOTACIÓN DEL VIARIO DE CALLE 30 Y SUS RAMALES.;
001190;15323;02;RENOVACIÓN DE INFRAESTRUCTURAS E INSTALACIONES DE CALLE 30.;
001190;15340;01;Realización de proyectos para la remodelación de espacios o infraestructuras urbanas.;
001190;15340;02;Ejecución de obras de reurbanización de espacios públicos y construcción de infraestructuras urbanas.;
001190;15340;03;Dirección y control de calidad de las obras y coordinación de seguridad y salud en los proyectos de ejecución de infraestructuras y obras de reurbanización de este programa.;
001190;15340;04;Homologación de elementos de mobiliario urbano no municipal y elementos de mobiliario homologables para su instalación en la vía pública.;
001190;15340;05;Controlar y gestionar las concesiones de mobiliario urbano destinado a publicidad.;
001190;15340;06;Conceder y controlar las licencias de publicidad exterior y realizar la tramitación de expedientes de disciplina y sancionadores por infracción de la regulación de la publicidad exterior.;
001190;15340;07;Convenio para Desmontaje de líneas aéreas de Alta Tensión.;
001190;15350;01;SERVIR DE REFERENCIA, INTERNA Y EXTERNA A LA ORGANIZACIÓN MUNICIPAL PARA LA PROMOCIÓN DE LA ACCESIBILIDAD EN LA CIUDAD. IMPULSAR LA COHESIÓN, PROMOVER EL TRABAJO COORDINADO, LA INNOVACIÓN Y LA PARTICIPACIÓN, FORTALECER LOS CANALES DE COMUNICACIÓN.;
001190;15350;02;IDENTIFICAR Y CATALIZAR COLECTIVAMENTE POLITICAS Y ACCIONES PROMOTORAS DE LA ACCESIBILIDAD ENTRE LAS ÁREAS DE GOBIERNO, DIRECCIONES GENERALES, DISTRITOS Y ORGANISMOS AUTÓNOMOS CON CRITERIOS DE EFECTIVIDAD Y SOSTENIBILIDAD QUE GENEREN RESULTADOS DE IMPACTO POSITIVO PARA LA CIUDAD.;
001190;15350;03;AUMENTAR LA SENSIBILIZACIÓN, FORMACIÓN E INFORMACIÓN DE LOS AGENTES RESPONSABLES DE LA ACCESIBILIDAD EN LA CIUDAD DE MADRID, INCLUIDO EL PERSONAL MUNICIPAL, PARA EL MEJOR CONOCIMIENTO DE LA NORMATIVA, LEGISLACIÓN Y BUENAS PRÁCTICAS EXISTENTES.;
001190;15360;01;Dirección y control de calidad de las obras y coordinación de seguridad y salud en los proyectos de ejecución de infraestructuras y obras de reurbanización de este programa;
001190;15360;02;Ejecución de obras de reurbanización de espacios públicos y construcción de infraestructuras urbanas;
001190;15374;01;RENOVACIÓN DE INFRAESTRUCTURAS E INSTALACIONES DE CALLE 30.;
001190;16501;01;CONSERVACIÓN DE ALUMBRADO PÚBLICO E INSTALACIONES URBANAS.;
001190;16501;02;Renovación y mejora de instalaciones urbanas.;
001190;16501;03;Mejora del alumbrado público en diferentes ámbitos de la ciudad o en espacios o eventos singulares.;
001190;16501;04;GESTIÓN ENERGÉTICA.;
001190;91207;01;DIRIGIR E IMPULSAR LAS POLÍTICAS MUNICIPALES EN MATERIA DE PATRIMONIO, OBRAS Y EQUIPAMIENTOS DEL AYUNTAMIENTO DE MADRID.;
001190;93301;01;LA CONSTRUCCIÓN DE NUEVOS EDIFICIOS QUE ALBERGUEN LOS SERVICIOS ADMINISTRATIVOS Y LOS EQUIPAMIENTOS PÚBLICOS DEL AYUNTAMIENTO DE MADRID.;
001190;93301;02;REFORMAR, MANTENER Y CONSERVAR EL PATRIMONIO INMUEBLE MUNICIPAL EN CONDICIONES ADECUADAS Y EVITAR SU DETERIORO.;
001190;93301;03;PROPICIAR EL ADECUADO ESTADO DE CONSERVACIÓN Y MANTENIMIENTO DE LOS EDIFICIOS NO ADSCRITOS Y PRESERVAR LOS MISMOS, MEDIANTE SU VIGILANCIA.;
001190;93301;04;ASEGURAR EL CORRECTO FUNCIONAMIENTO DE LAS INSTALACIONES ELÉCTRICAS QUE DAN SERVICIO EN LAS EDIFICACIONES MUNICIPALES.;
001190;93301;05;REALIZAR LAS ACTUACIONES NECESARIAS EN MATERIA DE SEGURIDAD Y SALUD.;
001190;93304;01;GESTIÓN DE GASTOS DE COMUNIDADES DE PROPIETARIOS.;
001190;93304;02;REPARAR Y CONSERVAR EL PATRIMONIO RELOJERO.;
001190;93304;03;ACTUACIONES ANTE LA OFICINA ESPAÑOLA DE PATENTES Y MARCAS PARA LA PROTECCIÓN JURÍDICA DE LOS SIGNOS DISTINTIVOS DE LOS QUE EL AYUNTAMIENTO DE MADRID OSTENTA LA TITULARIDAD.;
001190;93304;04;TRAMITAR SEGUROS DE RESPONSABILIDAD PATRIMONIAL/CIVIL Y DAÑOS.;
001190;93304;05;GESTIÓN GASTOS JURÍDICOS Y CONTENCIOSOS.;
001190;93304;06;TASACIÓN Y ESTUDIO DE OPTIMIZACIÓN DE INMUEBLES DE USO MUNICIPAL.;
001190;93304;07;GESTIÓN CANON HOTEL CASA DE CARNICERIA Y CANON Y CONCESIÓN DEMANIAL PARA LA EJECUCIÓN DEL ACCESO AL COMPLEJO CANALEJAS POR LA CALLE ALCALÁ 17.;
001190;93304;08;GESTIONAR DAÑOS AL PATRIMONIO MUNICIPAL.;
001190;93304;09;INVENTARIO.;
001190;93371;01;REFORMAR, MANTENER Y CONSERVAR EL PATRIMONIO INMUEBLE MUNICIPAL EN CONDICIONES ADECUADAS Y EVITAR SU DETERIORO.;
001190;93379;01;LA CONSTRUCCIÓN DE NUEVOS EDFICIOS QUE ALBERGUEN LOS SERVICIOS ADMINISTRATIVOS Y LOS EQUIPAMIENTOS PÚBLICOS DEL AYUNTAMINETO DE MADRID;
001201;15322;01;GESTIONAR EFICAZMENTE LAS ACTUACIONES MUNICIPALES EN LAS VÍAS PÚBLICAS  QUE HAN SIDO DELEGADAS EN LOS DISTRITOS.;
001201;15322;02;PLANIFICACIÓN, REDACCIÓN Y EJECUCIÓN DE PROYECTOS DE RENOVACIÓN Y  ACONDICIONAMIENTO DE PAVIMENTOS DE VÍAS Y ESPACIOS PÚBLICOS DE LA RED  LOCAL DISTRITAL;
001201;17102;01;ANÁLISIS, DETECCIÓN DE NECESIDADES Y PLANIFICACIÓN DE ACTUACIONES PARA EL ACONDICIONAMIENTO DE LAS ZONAS VERDES DEL DISTRITO;
001201;17102;02;OBRAS Y ACTUACIONES DE ACONDICIONAMIENTO, MEJORA Y REFORMA DE LAS ZONAS VERDES;
001201;23102;01;APOYAR A LAS FAMILIAS DEL DISTRITO EN LA CRIANZA Y EDUCACIÓN DE SUS HIJOS E HIJAS MEDIANTE PRESTACIONES DE CARÁCTER SOCIAL Y EDUCATIVO QUE PROMUEVAN EL DESARROLLO INTEGRAL DE LOS MENORES, PREVINIENDO SITUACIONES DE RIESGO SOCIAL.;
001201;23102;02;ATENDER A FAMILIAS Y MENORES EN SITUACIÓN DE RIESGO SOCIAL MEDIANTE PROGRAMAS DE INTERVENCIÓN PSICOSOCIAL.;
001201;23103;01;GARANTIZAR LA ATENCIÓN DE LAS NECESIDADES DE LA POBLACIÓN MAYOR DEL DISTRITO EN SU PROPIO ENTORNO CONVIVENCIAL Y SOCIAL.;
001201;23103;02;POTENCIAR LA PARTICIPACIÓN DE LAS PERSONAS MAYORES EN LA VIDA SOCIAL, Y  PREVENIR SU DETERIORO FÍSICO-PSÍQUICO MEDIANTE LA REALIZACIÓN DE TALLERES, ACTIVIDADES CULTURALES, DE OCIO Y UTILIZACIÓN DEL TIEMPO LIBRE SALUDABLE.;
001201;23103;03;APOYAR A LAS FAMILIAS CUIDADORAS PARA PREVENIR SITUACIONES DE RIESGO  PARA LAS PERSONAS MAYORES.;
001201;23103;04;ATENDER A LAS PERSONAS MAYORES DEL DISTRITO CON DETERIORO FUNCIONAL, RELACIONAL O  COGNITIVO MEDIANTE LA UTILIZACIÓN DE LOS CENTROS DE DÍA MUNICIPALES Y CONCERTADOS.;
001201;23103;05;FAVORECER ALTERNATIVAS DE CONVIVENCIA PARA LAS PERSONAS QUE NO PUEDEN  PERMANECER EN SU DOMICILIO, MEDIANTE LA GESTIÓN DE PRESTACIONES DE  ALOJAMIENTOS ALTERNATIVOS.;
001201;23103;06;GARANTIZAR LA INFORMACIÓN, ORIENTACIÓN Y ATENCIÓN ESPECÍFICA SOBRE LAS  PRESTACIONES DE DEPENDENCIA PARA PERSONAS MAYORES: SAD, TDA  (TELEASISTENCIA) Y CENTROS DE DÍA.;
001201;23106;01;GARANTIZAR LA ATENCIÓN SOCIAL DE LA CIUDADANÍA DEL DISTRITO EN EL SISTEMA PÚBLICO DE SERVICIOS SOCIALES;
001201;23106;02;APOYAR LA INTEGRACIÓN SOCIAL DE LAS PERSONAS DISCAPACITADAS Y SUS  FAMILIARES, PROPORCIONÁNDOLES LOS RECURSOS Y PRESTACIONES NECESARIAS QUE INCLUYEN LAS ESPECÍFICAS DEL SISTEMA NACIONAL DE ATENCIÓN A LA  DEPENDENCIA.;
001201;23106;03;PREVENIR SITUACIONES DE EXCLUSIÓN SOCIAL EXTREMA MEDIANTE INCORPORACIÓN  AL PROGRAMA DE RENTA MÍNIMA DE LA COMUNIDAD DE MADRID (R.M.I.) Y A  TRAVÉS DE PRESTACIONES ECONÓMICAS MUNICIPALES.;
001201;23106;04;ATENDER LAS NECESIDADES DE LAS PERSONAS EN SITUACIÓN DE EXCLUSIÓN SOCIAL RESIDENCIAL MEDIANTE LA INTERVENCIÓN SOCIAL COORDINADA CON LA RED ESPECIALIZADA.;
001201;23106;05;ATENDER LAS NECESIDADES DE APOYO PSICOLÓGICO DE FAMILIAS Y HOGARES  UNIPERSONALES EN SITUACIÓN DE RIESGO SOCIAL;
